model,code,label,origin,rationale
RenewableData,5.4,Biogasaufkommen insgesamt,internal,no D.xlsx 1. parameter row or ancestor matches
RenewableData,5.4.1,davon Einsatz für Prozesswärme,internal,no D.xlsx 1. parameter row or ancestor matches
RenewableData,5.4.1.1,Biogas für Prozesswärme,internal,no D.xlsx 1. parameter row or ancestor matches
RenewableData,5,,internal,no D.xlsx 1. parameter row or ancestor matches
RenewableData,6.2,Bioethanol,internal,no D.xlsx 1. parameter row or ancestor matches
RenewableData,6,Biogene Brennstoffe (flüssig),internal,no D.xlsx 1. parameter row or ancestor matches
RenewableData,7.1.4,Biogene Kraftstoffe (Wärme),internal,no D.xlsx 1. parameter row or ancestor matches
RenewableData,10,Endenergieangebot aus erneuerbaren Quellen gesamt,internal,no D.xlsx 1. parameter row or ancestor matches
RenewableData,10.1,Endenergie aus Erneuerbaren Q. gesamt,internal,no D.xlsx 1. parameter row or ancestor matches
RenewableData,10.2,Strom,internal,no D.xlsx 1. parameter row or ancestor matches
RenewableData,10.2.1,Stromverbrauch insgesamt,internal,no D.xlsx 1. parameter row or ancestor matches
RenewableData,10.2.2,Anteil Erneuerb. an Stromverbrauch,internal,no D.xlsx 1. parameter row or ancestor matches
RenewableData,10.3,Kraft/Licht/Inform.Komm.Tech./Kälte,internal,no D.xlsx 1. parameter row or ancestor matches
RenewableData,10.3.1,davon Strom,internal,no D.xlsx 1. parameter row or ancestor matches
RenewableData,10.4,Gebäudewärme,internal,no D.xlsx 1. parameter row or ancestor matches
RenewableData,10.4.1,davon Brennstoffe,internal,no D.xlsx 1. parameter row or ancestor matches
RenewableData,10.4.1.1,davon Kohlenwasserstoffe,internal,no D.xlsx 1. parameter row or ancestor matches
RenewableData,10.4.1.2,davon Kohlenwasserstoffe,internal,no D.xlsx 1. parameter row or ancestor matches
RenewableData,10.4.1.3,davon Kohlenwasserstoffe,internal,no D.xlsx 1. parameter row or ancestor matches
RenewableData,10.4.2,davon Wärme,internal,no D.xlsx 1. parameter row or ancestor matches
RenewableData,10.4.3,davon Strom,internal,no D.xlsx 1. parameter row or ancestor matches
RenewableData,10.5,Prozesswärme,internal,no D.xlsx 1. parameter row or ancestor matches
RenewableData,10.5.1,davon Brennstoffe,internal,no D.xlsx 1. parameter row or ancestor matches
RenewableData,10.5.1.1,davon Kohlenwasserstoffe,internal,no D.xlsx 1. parameter row or ancestor matches
RenewableData,10.5.1.2,davon Wasserstoff,internal,no D.xlsx 1. parameter row or ancestor matches
RenewableData,10.5.1.3,davon Kohlenwasserstoffe,internal,no D.xlsx 1. parameter row or ancestor matches
RenewableData,10.5.1.4,davon Kohlenwasserstoffe,internal,no D.xlsx 1. parameter row or ancestor matches
RenewableData,10.5.2,davon Wärme,internal,no D.xlsx 1. parameter row or ancestor matches
RenewableData,10.5.3,davon Strom,internal,no D.xlsx 1. parameter row or ancestor matches
RenewableData,10.6,Mobile Anwendungen,internal,no D.xlsx 1. parameter row or ancestor matches
RenewableData,10.8,Grundstoff Methan,internal,no D.xlsx 1. parameter row or ancestor matches
