our_code,our_label,status_ours,ziel_ours,status_excel_row,status_col,status_scale,status_excel_label,ziel_excel_row,ziel_col,ziel_scale,ziel_excel_label,confidence
1, / Solar,,,,,,,,,,,ZERO
1.1,Dachflächen / Solar,34243.0,199396.038908,,,,,127,W,1,Im Datenteil der Agora-Studie [9.19] sind 36 Milli,MED
1.1.1,Solarthermie / Solar,132641.73084648,87627.957854937,129,W,0.001,Solar genutzte Freiflächen,,,,,MED
1.1.1.1,Dachflächen / Solar,6.4,1.1,138,W,1,- STATUS-Ansatz: Fläche der solarthermischen Flach,,,,,MED
1.1.1.1.1, / Solar,3878.0,5250.0,,,,,,,,,LOW
1.1.1.1.2, / Solar,8498.838656000002,11515.121246937,,,,,2055,AG,0.001,Im Landkreis Osnabrück sind gemäß Solardachkataste,MED
1.1.2,Solarstrom / Solar,114220.68413793105,483416.2937742548,2055,AG,0.0001,Im Landkreis Osnabrück sind gemäß Solardachkataste,,,,,MED
1.1.2.1,Dachflächen / Solar,93.6,98.9,149,W,1,- STATUS-Ansatz: Die nicht durch Solarthermie bean,151,W,1,- ZIEL-Ansatz: Die nicht durch Solarthermie beansp,HIGH
1.1.2.1.1, / Solar,1383.0,1853.0,,,,,,,,,LOW
1.1.2.1.2, / Solar,44327.152583999996,365416.57063546224,,,,,,,,,LOW
1.1.2.1.2.1, / Solar,927.0,927.0,,,,,,,,,LOW
1.1.2.1.2.2, / Solar,47817.8560776699,394192.6328322139,,,,,,,,,LOW
1.2,Freiflächen / Solar,19628.0,684640.8016282017,,,,,,,,,LOW
1.2.1,Solarstrom / Solar,65093.948584,1214891.585294698,138,W,0.0001,- STATUS-Ansatz: Fläche der solarthermischen Flach,587,W,0.001,- ZIEL-Ansatz: Die Methansynthese mit elektrolytis,HIGH
1.2.1.1, / Solar,922.0,1235.33333,,,,,,,,,LOW
1.2.1.2, / Solar,18097.016,845759.6013292358,,,,,,,,,LOW
1.2.1.2.1, / Solar,927.0,927.0,,,,,,,,,LOW
1.2.1.2.2, / Solar,19522.131607335494,912362.0294813763,,,,,,,,,LOW
2.1,Onshore / Solar,267722.61958400003,2578592.1435145442,,,,,,,,,LOW
2.1.1,Onshore / Solar,172556.0,715288.6652322228,189,W,1,- STATUS-Ansatz: 172.556 ha Windparkfläche wurden ,192,W,1,- ZIEL-Ansatz: 715.191 ha Windparkfläche resultier,HIGH
2.1.1.1,Onshore / Solar,2.9,3.8,198,W,1,"- STATUS-Ansatz: 2,90 ha/MW gemäß einer eigenen Wi",,,,,MED
