our_code,our_label,match_score,excel_row,excel_label,status,notes
1, / Solar,0.33,129,Solar genutzte Freiflächen,PARTIAL,overlap: solar
1.1,Dachflächen / Solar,0.33,129,Solar genutzte Freiflächen,PARTIAL,overlap: solar
1.1.1,Solarthermie / Solar,0.33,129,Solar genutzte Freiflächen,PARTIAL,overlap: solar
1.1.1.1,Dachflächen / Solar,0.33,129,Solar genutzte Freiflächen,PARTIAL,overlap: solar
1.1.1.1.1, / Solar,0.33,129,Solar genutzte Freiflächen,PARTIAL,overlap: solar
1.1.1.1.2, / Solar,0.33,129,Solar genutzte Freiflächen,PARTIAL,overlap: solar
1.1.2,Solarstrom / Solar,0.33,129,Solar genutzte Freiflächen,PARTIAL,overlap: solar
1.1.2.1,Dachflächen / Solar,0.33,129,Solar genutzte Freiflächen,PARTIAL,overlap: solar
1.1.2.1.1, / Solar,0.33,129,Solar genutzte Freiflächen,PARTIAL,overlap: solar
1.1.2.1.2, / Solar,0.33,129,Solar genutzte Freiflächen,PARTIAL,overlap: solar
1.1.2.1.2.1, / Solar,0.33,129,Solar genutzte Freiflächen,PARTIAL,overlap: solar
1.1.2.1.2.2, / Solar,0.33,129,Solar genutzte Freiflächen,PARTIAL,overlap: solar
1.2,Freiflächen / Solar,0.67,129,Solar genutzte Freiflächen,MATCHED,"overlap: freiflächen,solar"
1.2.1,Solarstrom / Solar,0.33,129,Solar genutzte Freiflächen,PARTIAL,overlap: solar
1.2.1.1, / Solar,0.33,129,Solar genutzte Freiflächen,PARTIAL,overlap: solar
1.2.1.2, / Solar,0.33,129,Solar genutzte Freiflächen,PARTIAL,overlap: solar
1.2.1.2.1, / Solar,0.33,129,Solar genutzte Freiflächen,PARTIAL,overlap: solar
1.2.1.2.2, / Solar,0.33,129,Solar genutzte Freiflächen,PARTIAL,overlap: solar
2.1,Onshore / Solar,0.50,171,Windenergie Onshore,PARTIAL,overlap: onshore
2.1.1,Onshore / Solar,0.50,171,Windenergie Onshore,PARTIAL,overlap: onshore
2.1.1.1,Onshore / Solar,0.50,171,Windenergie Onshore,PARTIAL,overlap: onshore
2.1.1.2,Onshore / Solar,0.50,171,Windenergie Onshore,PARTIAL,overlap: onshore
2.1.1.2.1,Onshore / Solar,0.50,171,Windenergie Onshore,PARTIAL,overlap: onshore
2.1.1.2.2,Onshore / Solar,0.50,171,Windenergie Onshore,PARTIAL,overlap: onshore
2.1.1.2.3,Onshore / Solar,0.50,171,Windenergie Onshore,PARTIAL,overlap: onshore
2.2,Offshore / Solar,0.50,214,Windenergie Offshore,PARTIAL,overlap: offshore
2.2.1.1,Offshore / Solar,0.50,214,Windenergie Offshore,PARTIAL,overlap: offshore
2.2.1.2,Offshore / Solar,0.50,214,Windenergie Offshore,PARTIAL,overlap: offshore
2.2.1.2.1,Offshore / Solar,0.50,214,Windenergie Offshore,PARTIAL,overlap: offshore
2.2.1.2.2,Offshore / Solar,0.50,214,Windenergie Offshore,PARTIAL,overlap: offshore
2.2.1.2.3,Offshore / Solar,0.50,214,Windenergie Offshore,PARTIAL,overlap: offshore
2.2.1,Offshore / Solar,0.50,214,Windenergie Offshore,PARTIAL,overlap: offshore
3.,Laufwasser / Solar,0.33,129,Solar genutzte Freiflächen,PARTIAL,overlap: solar
3.1,Laufwasser / Solar,0.33,129,Solar genutzte Freiflächen,PARTIAL,overlap: solar
3.1.1,Laufwasser / Solar,0.33,129,Solar genutzte Freiflächen,PARTIAL,overlap: solar
3.1.1.1,Laufwasser / Solar,0.33,129,Solar genutzte Freiflächen,PARTIAL,overlap: solar
3.1.1.2,Laufwasser / Solar,0.33,129,Solar genutzte Freiflächen,PARTIAL,overlap: solar
4.,Biogene Brennstoffe / Solar,0.50,335,Verstromung biogene Brennstoffe (fest),PARTIAL,"overlap: biogene,brennstoffe"
4.1,Energieholz / Solar,0.50,243,Energieholz (Forst),PARTIAL,overlap: energieholz
