our_code,our_label,our_status,our_ziel,s_sheet,s_row,s_label,s_status_value,s_ziel_value,s_status_formula,s_ziel_formula,d_status_ref,d_ziel_ref,label_overlap,status_match,status_scale,ziel_match,ziel_scale,confidence
1,Solarenergie,,,2. Erneuerbare,5,Solarenergie,,,,,,,1.0,False,1.0,False,1.0,LABEL_ONLY
1.1,Solare Dachflächen,34243.0,199396.038908,2. Erneuerbare,6,Solare Dachflächen,34242.69,199398.4011935508,=AP6,"=IF(P6="""",AQ6,P6)",,,1.0,True,1.0,True,1.0,HIGH
1.1.1,Solarthermie,132641.73084648,87627.957854937,2. Erneuerbare,7,Solarthermie,,,,,,,1.0,False,1.0,False,1.0,LABEL_ONLY
1.1.1.1,Anteil an solaren Dachflächen,6.4,1.1,2. Erneuerbare,65,*,0,0,=AT65,"=IF(P65="""",AU65,P65)",,,0.0,True,0.001,True,0.001,HIGH
1.1.1.1.1,Energieertrag,3878.0,5250.0,2. Erneuerbare,9,*,3878.356667431719,5250,=AT9,"=IF(P9="""",AU9,P9)",,,0.0,True,1.0,True,1.0,HIGH
1.1.1.1.2,Gebäudewärme,8498.838656000002,11515.121246937,2. Erneuerbare,10,Gebäudewärme,8448.999999999998,11515.25766892756,=L6*L8%*L9/1000,=M6*M8%*M9/1000,,,1.0,False,1.0,True,1.0,MED
1.1.2,Solarstrom,114220.68413793105,483416.2937742548,2. Erneuerbare,12,Solarstrom,,,,,,,1.0,False,1.0,False,1.0,LABEL_ONLY
1.1.2.1,Anteil an solaren Dachflächen (Strom),93.6,98.9,2. Erneuerbare,13,*,93.63805822498175,98.9,=100-L8,=100-M8,,,0.0,True,1.0,True,1.0,HIGH
1.1.2.1.1,Energieertrag,1383.0,1853.0,2. Erneuerbare,14,*,1382.8358208955224,1853,=AT14,"=IF(P14="""",AU14,P14)",,,0.0,True,1.0,True,1.0,HIGH
1.1.2.1.2,Bruttostromerzeugung,44327.152583999996,365416.57063546224,2. Erneuerbare,15,Bruttostromerzeugung,44339.5105,365420.8998001215,=L6*L13%*L14/1000,=M6*M13%*M14/1000,,,1.0,True,1.0,True,1.0,HIGH
1.1.2.1.2.1,Vollbetriebstunden jährlich,927.0,927.0,2. Erneuerbare,16,/,926.5,926.5,=AT16,"=IF(P16="""",AU16,P16)",,,0.0,True,1.0,True,1.0,HIGH
1.1.2.1.2.2,Installierte Leistung,47817.8560776699,394192.6328322139,2. Erneuerbare,17,Installierte Leistung,47857,394410.03756084346,=L15*1000/L16,=M15*1000/M16,,,1.0,True,1.0,True,1.0,HIGH
1.2,Solar genutzte Freiflächen,19628.0,684640.8016282017,2. Erneuerbare,19,Solar genutzte Freiflächen,19627.65,887749.85,=AP19,"=IF(P19="""",AQ19,P19)",,,1.0,True,1.0,False,1.0,MED
1.2.1,Solarstrom,65093.948584,1214891.585294698,2. Erneuerbare,12,Solarstrom,,,,,,,1.0,False,1.0,False,1.0,LABEL_ONLY
1.2.1.1,Energieertrag,922.0,1235.33333,2. Erneuerbare,21,*,921.8905472636816,1235.3333333333333,=AT21,"=IF(P21="""",AU21,P21)",,,0.0,True,1.0,True,1.0,HIGH
1.2.1.2,Bruttostromerzeugung,18097.016,845759.6013292358,2. Erneuerbare,22,Bruttostromerzeugung,18094.545,1096666.9813666665,=L19*L21/1000,=M19*M21/1000,,,1.0,True,1.0,False,1.0,MED
1.2.1.2.1,Vollbetriebstunden jährlich,927.0,927.0,2. Erneuerbare,16,/,926.5,926.5,=AT16,"=IF(P16="""",AU16,P16)",,,0.0,True,1.0,True,1.0,HIGH
1.2.1.2.2,Installierte Leistung,19522.131607335494,912362.0294813763,2. Erneuerbare,24,Installierte Leistung,19530,1183666.4666666666,=L22*1000/L23,=M22*1000/M23,,,1.0,True,1.0,False,1.0,MED
2.1,Onshore-Windstrom,267722.61958400003,2578592.1435145442,2. Erneuerbare,27,Onshore-Windstrom,,,,,,,1.0,False,1.0,False,1.0,LABEL_ONLY
2.1.1,Windparkfläche,172556.0,715288.6652322228,2. Erneuerbare,28,Windparkfläche,172555.8,715289.0305038091,=AP28,"=IF(P28="""",AQ28,P28)",,,1.0,True,1.0,True,1.0,HIGH
2.1.1.1,spezifischer Flächenbedarf,2.9,3.8,2. Erneuerbare,29,*,2.9,3.8,=AT29,"=IF(P29="""",AU29,P29)",,,0.0,True,1.0,True,1.0,HIGH
2.1.1.2,Installierte Leistung,59502.06896551725,188233.85927163757,2. Erneuerbare,30,Installierte Leistung,59502,188233.95539573923,=L28/L29,=M28/M29,,,1.0,True,1.0,True,1.0,HIGH
2.1.1.2.1,Vollbetriebstunden jährlich,1874.0,2550.0,2. Erneuerbare,31,*,1874.420205529969,2550,=AT31,"=IF(P31="""",AU31,P31)",,,0.0,True,1.0,True,1.0,HIGH
2.1.1.2.2,Bruttostromerzeugung jährlich,111506.87724137932,479996.34114267584,2. Erneuerbare,32,Bruttostromerzeugung,111531.75106944422,479996.58625913505,=L30*L31/1000,=M30*M31/1000,,,0.5,True,1.0,True,1.0,HIGH
2.1.1.2.3,Energieertrag,646.2068965517242,671.0526315789474,2. Erneuerbare,33,Energieertrag,646.3517950103343,671.0526315789474,=L32*1000/L28,=M32*1000/M28,,,1.0,True,1.0,True,1.0,HIGH
2.2,Offshore-Windstrom,8337.0,70000.0,2. Erneuerbare,35,Install. Offshore-Leistung Deutschland,8337,70000,=AT35,"=IF(P35="""",AU35,P35)",,,0.25,True,1.0,True,1.0,HIGH
2.2.1.1,Vollbetriebstunden jährlich,2823.0,3232.0,2. Erneuerbare,36,*,2823,3232,=AT36,"=IF(P36="""",AU36,P36)",,,0.0,True,1.0,True,1.0,HIGH
2.2.1.2,Bruttostromerzeugung Deutschland,23535.351,226240.0,2. Erneuerbare,37,Bruttostromerzeugung Deutschland,23535.351,226240,=L35*L36/1000,=M35*M36/1000,,,1.0,True,1.0,True,1.0,HIGH
