our_code,our_label,status_ours,ziel_ours,excel_row,excel_label,status_col,status_excel,ziel_col,ziel_excel,confidence,notes
1, / Solar,,,,,,,,,LOW,no value+label match
1.1,Dachflächen / Solar,34243.0,199396.038908,,,,,,,LOW,no value+label match
1.1.1,Solarthermie / Solar,132641.73084648,87627.957854937,,,,,,,LOW,no value+label match
1.1.1.1,Dachflächen / Solar,6.4,1.1,,,,,,,LOW,no value+label match
1.1.1.1.1, / Solar,3878.0,5250.0,,,,,,,LOW,no value+label match
1.1.1.1.2, / Solar,8498.838656000002,11515.121246937,,,,,,,LOW,no value+label match
1.1.2,Solarstrom / Solar,114220.68413793105,483416.2937742548,,,,,,,LOW,no value+label match
1.1.2.1,Dachflächen / Solar,93.6,98.9,,,,,,,LOW,no value+label match
1.1.2.1.1, / Solar,1383.0,1853.0,,,,,,,LOW,no value+label match
1.1.2.1.2, / Solar,44327.152583999996,365416.57063546224,,,,,,,LOW,no value+label match
1.1.2.1.2.1, / Solar,927.0,927.0,167,"- STATUS-Ansatz: Gemäß  [9.4], Photovoltaik Ausnutzungsdauer, lag die mittlere j",AG,926.0,AG,926.0,MED-VALUE-ONLY,both-match; label_overlap=0.00
1.1.2.1.2.2, / Solar,47817.8560776699,394192.6328322139,,,,,,,LOW,no value+label match
1.2,Freiflächen / Solar,19628.0,684640.8016282017,,,,,,,LOW,no value+label match
1.2.1,Solarstrom / Solar,65093.948584,1214891.585294698,,,,,,,LOW,no value+label match
1.2.1.1, / Solar,922.0,1235.33333,,,,,,,LOW,no value+label match
1.2.1.2, / Solar,18097.016,845759.6013292358,,,,,,,LOW,no value+label match
1.2.1.2.1, / Solar,927.0,927.0,167,"- STATUS-Ansatz: Gemäß  [9.4], Photovoltaik Ausnutzungsdauer, lag die mittlere j",AG,926.0,AG,926.0,MED-VALUE-ONLY,both-match; label_overlap=0.00
1.2.1.2.2, / Solar,19522.131607335494,912362.0294813763,,,,,,,LOW,no value+label match
2.1,Onshore / Solar,267722.61958400003,2578592.1435145442,,,,,,,LOW,no value+label match
2.1.1,Onshore / Solar,172556.0,715288.6652322228,,,,,,,LOW,no value+label match
2.1.1.1,Onshore / Solar,2.9,3.8,,,,,,,LOW,no value+label match
2.1.1.2,Onshore / Solar,59502.06896551725,188233.85927163757,,,,,,,LOW,no value+label match
2.1.1.2.1,Onshore / Solar,1874.0,2550.0,,,,,,,LOW,no value+label match
2.1.1.2.2,Onshore / Solar,111506.87724137932,479996.34114267584,,,,,,,LOW,no value+label match
2.1.1.2.3,Onshore / Solar,646.2068965517242,671.0526315789474,,,,,,,LOW,no value+label match
2.2,Offshore / Solar,8337.0,70000.0,,,,,,,LOW,no value+label match
2.2.1.1,Offshore / Solar,2823.0,3232.0,,,,,,,LOW,no value+label match
2.2.1.2,Offshore / Solar,23535.351,226240.0,,,,,,,LOW,no value+label match
2.2.1.2.1,Offshore / Solar,84669326.0,84669326.0,34,Energieverbrauch ermittelt gemäß:,AG,84669326.0,AG,84669326.0,MED-VALUE-ONLY,both-match; label_overlap=0.00
2.2.1.2.2,Offshore / Solar,84669326.0,84669326.0,34,Energieverbrauch ermittelt gemäß:,AG,84669326.0,AG,84669326.0,MED-VALUE-ONLY,both-match; label_overlap=0.00
2.2.1.2.3,Offshore / Solar,23535.350999999995,226239.99999999997,,,,,,,LOW,no value+label match
2.2.1,Offshore / Solar,8337.0,70000.0,,,,,,,LOW,no value+label match
3.,Laufwasser / Solar,39949342.27816993,42301794.86816328,,,,,,,LOW,no value+label match
3.1,Laufwasser / Solar,35759529.0,35759529.0,54,"Bodenfläche Deutschland 31.12.2012 gemäß GENESIS [9.224], Tabelle 449-01-5:   35",W,35716856.0,W,35716856.0,MED-VALUE-ONLY,both-match; label_overlap=0.00
3.1.1,Laufwasser / Solar,79.0,79.0,232,- STATUS-Ansatz: Die Stromerzeugung aus Wasserkraft in Deutschland lag gemäß BMW,W,79.01899631414801,W,79.01899631414801,MED-VALUE-ONLY,both-match; label_overlap=0.00
3.1.1.1,Laufwasser / Solar,0.69,0.69,237,"- STATUS-Ansatz: Ein Energieertrag aus Wasserkraft in Deutschland von 0,690 MWh/",W,0.6904173709894221,W,0.6904173709894221,MED-VALUE-ONLY,both-match; label_overlap=0.00
3.1.1.2,Laufwasser / Solar,19492.5192579,19492.5192579,446,"- STATUS-Ansatz: Gemäß FNR [9.109], S. 16, 19, lag die Anbaufläche für Biodiesel",AN,19400.0,AN,19400.0,MED-VALUE-ONLY,both-match; label_overlap=0.00
4.,Biogene Brennstoffe / Solar,47659883.00765544,47934441.2626911,,,,,,,LOW,no value+label match
4.1,Energieholz / Solar,10086723.667438,9472655.639714886,,,,,,,LOW,no value+label match
4.1.1,Energieholz / Solar,9866633.0,9373000.0,,,,,,,LOW,no value+label match
4.1.1.1,Energieholz / Solar,9866633.0,9373000.0,,,,,,,LOW,no value+label match
4.1.1.1.1,Energieholz / Solar,53.6,33.2,,,,,,,LOW,no value+label match
