db_table,db_id,db_code,db_name,db_unit,db_status,db_ziel,match_score,match_sheet,match_row,match_name,match_unit,match_dref,xl_status,xl_ziel,drift_status,drift_ziel,best_scale_status,best_drift_status,best_scale_ziel,best_drift_ziel,verdict_status,verdict_ziel
LandUse,141,LU_0,Bodenfläche gesamt,ha,35759529.0,35759529.0,1.0,1. Flächen,8,Bodenfläche gesamt,35759529,1.64,35759529,35759529,0.0,0.0,1.0,0.0,1.0,0.0,EXACT,EXACT
LandUse,142,LU_1,Siedlung (Gebäude- & Freifläche),ha,3380079.0,3645799.0,1.0,1. Flächen,9,Siedlung (Gebäude- & Freifläche),3380079,1.69,3380079,3645799.0000000005,0.0,1.2772544161313862e-16,1.0,0.0,1.0,1.2772544161313862e-16,EXACT,PASS_COSMETIC
LandUse,143,LU_1.1,Solare Dachflächen,ha,34243.0,199396.038908,1.0,1. Flächen,10,Solare Dachflächen,34242.69,1.120,34242.69,199398.4011935508,9.052945127403314e-06,1.1847063650761892e-05,1.0,9.052945127403314e-06,1.0,1.1847063650761892e-05,PASS_COSMETIC,PASS_COSMETIC
LandUse,144,LU_2,Landwirtschaftsfläche (LF),ha,18020717.0,17754997.0,1.0,1. Flächen,12,Landwirtschaftsfläche (LF),18020717,1.75,18020717,17754997,0.0,0.0,1.0,0.0,1.0,0.0,EXACT,EXACT
LandUse,145,LU_2.1,Solare Freiflächen,ha,19628.0,684640.8016282017,1.0,1. Flächen,13,Solare Freiflächen,19627.65,1.129,19627.65,887749.85,1.78316690441484e-05,0.228790856311379,1.0,1.78316690441484e-05,1.0,0.228790856311379,PASS_COSMETIC,DRIFT
LandUse,146,LU_2.2,Ackerland,ha,11681400.0,10826000.0,1.0,1. Flächen,14,Ackerland,11681400,1.80,11681400,10826000,0.0,0.0,1.0,0.0,1.0,0.0,EXACT,EXACT
LandUse,147,LU_2.2.1,Getreide-Anbaufl. (Stroh),ha,6076200.0,5631255.0,1.0,1. Flächen,15,Getreide-Anbaufl. (Stroh),6076200,1.85,6076200,5631254.918074889,0.0,1.4548286463934127e-08,1.0,0.0,1.0,1.4548286463934127e-08,EXACT,PASS_COSMETIC
LandUse,148,LU_2.2.2,Energiepfl. (Biogas),ha,1410000.0,1307000.0,1.0,1. Flächen,16,Energiepfl. (Biogas),1410000,1.365,1410000,1307000,0.0,0.0,1.0,0.0,1.0,0.0,EXACT,EXACT
LandUse,149,LU_2.2.3,Energiepfl. (Pflanzenöl),ha,665000.0,303000.0,1.0,1. Flächen,17,Energiepfl. (Pflanzenöl),665000,1.445,665000,303000,0.0,0.0,1.0,0.0,1.0,0.0,EXACT,EXACT
LandUse,150,LU_2.2.4,Energiepfl. (Ethanol),ha,216200.0,0.0,1.0,1. Flächen,18,Energiepfl. (Ethanol),216200,1.494,216200,0,0.0,0.0,1.0,0.0,1.0,0.0,EXACT,EXACT
LandUse,151,LU_2.2.5,Energiepfl. (Kurzumtr.),ha,11200.0,11200.0,1.0,1. Flächen,19,Energiepfl. (Kurzumtr.),11200,1.266,11200,11200,0.0,0.0,1.0,0.0,1.0,0.0,EXACT,EXACT
LandUse,152,LU_2.2.6,(ohne energet. Relevanz),ha,3302800.0,3573545.0,1.0,1. Flächen,20,(ohne energet. Relevanz),3302800,,3302800,3573545.081925111,0.0,2.2925444905070948e-08,1.0,0.0,1.0,2.2925444905070948e-08,EXACT,PASS_COSMETIC
