table,key,category,formula_type,ws_row_type,is_fixed,expression,description
Formula,LANDUSE_CHANGE_RATIO,landuse,status,all,False,child_target / child_status,Calculate change ratio: target_ha ÷ status_ha
Formula,LANDUSE_STATUS_PERCENT,landuse,status,all,False,child_status / parent_status * 100,Calculate status percentage: child status_ha ÷ parent status_ha × 100
Formula,LANDUSE_TARGET_PERCENT,landuse,status,all,False,child_target / parent_target * 100,Calculate target percentage: child target_ha ÷ parent target_ha × 100
Formula,1,renewable,status,all,True,,Solarenergie
Formula,10,renewable,status,all,True,,Endenergieangebot aus erneuerbaren Quellen gesamt
Formula,10.1,renewable,status,all,False,Renewable_10_3 + Renewable_10_4 + Renewable_10_5+Renewable_10_6,Endenergie aus Erneuerbaren Q. gesamt
Formula,10.1_target,renewable,ziel,all,False,Renewable_10_3 + Renewable_10_4 + Renewable_10_5+Renewable_10_6,Ziel formula for 10.1: Endenergie aus Erneuerbaren Q. gesamt
Formula,10.2,renewable,status,all,False,Renewable_9_4_3_3,Strom
Formula,10.2.1,renewable,status,all,False,Verbrauch_7,Stromverbrauch insgesamt
Formula,10.2.1_ziel_target,renewable,ziel,all,False,Verbrauch_7,Ziel formula for 10.2.1: Stromverbrauch insgesamt
Formula,10.2.2,renewable,status,all,False,Renewable_10_2 / Renewable_10_2_1 * 100,Anteil Erneuerb. an Stromverbrauch
Formula,10.2.2_ziel_target,renewable,ziel,all,False,Renewable_10_2 / Renewable_10_2_1 * 100,Ziel formula for 10.2.2: Anteil Erneuerb. an Stromverbrauch
Formula,10.2_ziel_target,renewable,ziel,all,False,Renewable_9_4_3_3,Ziel formula for 10.2: Strom
Formula,10.3,renewable,status,all,False,Renewable_10_3_1,Kraft/Licht/Inform.Komm.Tech./Kälte
Formula,10.3.1,renewable,status,all,False,Verbrauch_1_4 * Renewable_10_2_2 / 100,davon Strom
Formula,10.3.1_ziel_target,renewable,ziel,all,False,Verbrauch_1_4 * Renewable_10_2_2 / 100,Ziel formula for 10.3.1: davon Strom
Formula,10.3_ziel_target,renewable,ziel,all,False,Renewable_10_3_1,Ziel formula for 10.3: Kraft/Licht/Inform.Komm.Tech./Kälte
