excel_sheet,excel_ref,cached_value,formula_text,row,col
5. Bilanz,A1,"100prosim (_S.xlsx, 250517.1803_hsk)",,1,A
5. Bilanz,AB1,'5. Bilanz',"=""'""&MID(AF1,FIND(""]"",AF1)+1,255)&""'""",1,AB
5. Bilanz,AE1,5. Bilanz,"=MID(AF1,FIND(""]"",AF1)+1,255)",1,AE
5. Bilanz,AF1,C:\Users\kkran\OneDrive\Desktop\100prosim_d_250517_250517.1817m\[_S.xlsx]5. Bilanz,"=CELL(""dateiname"",AF1)",1,AF
5. Bilanz,AR1,Vorlagen>>>,,1,AR
5. Bilanz,AS1,S.5.,=AT1&AV1,1,AS
5. Bilanz,AT1,S.,"=MID(AU1,2,1)&"".""",1,AT
5. Bilanz,AU1,_S.,"=MID(AX1,FIND(""["",AX1)+1,FIND(""xls"",AX1)-FIND(""["",AX1)-1)",1,AU
5. Bilanz,AV1,5.,"=LEFT(AW1,FIND(""."",AW1))",1,AV
5. Bilanz,AW1,5. Bilanz,"=MID(AX1,FIND(""]"",AX1)+1,255)",1,AW
5. Bilanz,AX1,C:\Users\kkran\OneDrive\Desktop\100prosim_d_250517_250517.1817m\[_S.xlsx]5. Bilanz,"=CELL(""dateiname"",AX1)",1,AX
5. Bilanz,BD1,[,,1,BD
5. Bilanz,BE1,],,1,BE
5. Bilanz,BH1,[_S.xlsx],"=""[""&AU1&""xlsx]""",1,BH
5. Bilanz,BJ1,S.5. Bilanz - ,"=AT1&AW1&"" - """,1,BJ
5. Bilanz,BK1,Szenario 'Deutschland 100%EE' (250517),"=""Szenario '""&I_!K4&""' (""&I_!S6&"")""",1,BK
5. Bilanz,BN1,#REF!,=#REF!,1,BN
5. Bilanz,BO1,04.02.2026,"=TEXT(TODAY(),""tt.MM.jjjj"")",1,BO
5. Bilanz,BP1,22:38,"=TEXT(NOW(),""hh:mm"")",1,BP
5. Bilanz,BQ1,#REF!,"=""100prosim (""&AU1&"".xlsx, V.""&BN1&"")   -   ""&BO1&""  ""&BP1",1,BQ
