sheet,row,row_indent_col,full_name,status,ziel,unit,d_ref,ref_status,ref_ziel
3. Bedarfsniveau,5,E,Energieverbraucher,,,,,3. Bedarfsniveau!L5,3. Bedarfsniveau!M5
3. Bedarfsniveau,6,G,Energieverbraucher / Einwohnerzahl,84669326,84669326,,1.40,3. Bedarfsniveau!L6,3. Bedarfsniveau!M6
3. Bedarfsniveau,7,G,Energieverbraucher / Energieverbraucher gemäß Solidarprinzip,84669326,84669326,,1.49,3. Bedarfsniveau!L7,3. Bedarfsniveau!M7
3. Bedarfsniveau,8,,Energieverbraucher / Energieverbraucher gemäß Solidarprinzip,,,,,3. Bedarfsniveau!L8,3. Bedarfsniveau!M8
3. Bedarfsniveau,9,F,Energieverbraucher / Verbrauchsmaßstab gemäß:,Verursacher-Prinzip,,,1.34,3. Bedarfsniveau!L9,3. Bedarfsniveau!M9
3. Bedarfsniveau,10,G,Energieverbraucher / Verbrauchsmaßstab gemäß: / danach Anzahl Energieverbraucher,84669326,84669326,,,3. Bedarfsniveau!L10,3. Bedarfsniveau!M10
3. Bedarfsniveau,11,H,Energieverbraucher / Verbrauchsmaßstab gemäß: / danach Anzahl Energieverbraucher / Demografische Entwicklung,,0,%,,3. Bedarfsniveau!L11,3. Bedarfsniveau!M11
3. Bedarfsniveau,12,,Energieverbraucher / Verbrauchsmaßstab gemäß: / danach Anzahl Energieverbraucher / Demografische Entwicklung,,,,,3. Bedarfsniveau!L12,3. Bedarfsniveau!M12
3. Bedarfsniveau,13,E,Verbrauchsmaßstab gemäß Verursacher-Prinzip - Endenergie,,,,,3. Bedarfsniveau!L13,3. Bedarfsniveau!M13
3. Bedarfsniveau,14,F,Verbrauchsmaßstab gemäß Verursacher-Prinzip - Endenergie / Endenergie alle Anwendungen,2437188.6728744195,2437188.6728744195,GWh/a,,3. Bedarfsniveau!L14,3. Bedarfsniveau!M14
3. Bedarfsniveau,15,G,Verbrauchsmaßstab gemäß Verursacher-Prinzip - Endenergie / Endenergie alle Anwendungen / Kraft/Licht/IKT/Kälte,329214.0656749311,329214.0656749311,GWh/a,,3. Bedarfsniveau!L15,3. Bedarfsniveau!M15
3. Bedarfsniveau,16,H,Verbrauchsmaßstab gemäß Verursacher-Prinzip - Endenergie / Endenergie alle Anwendungen / Kraft/Licht/IKT/Kälte / davon Strom,329214.0656749311,329214.0656749311,GWh/a,,3. Bedarfsniveau!L16,3. Bedarfsniveau!M16
3. Bedarfsniveau,17,G,"Verbrauchsmaßstab gemäß Verursacher-Prinzip - Endenergie / Endenergie alle Anwendungen / Gebäudewärme (Raumw., Warmwass.)",798867.2532382089,798867.2532382089,GWh/a,,3. Bedarfsniveau!L17,3. Bedarfsniveau!M17
