sheet,row,row_indent_col,full_name,status,ziel,unit,d_ref,ref_status,ref_ziel
4. Verbrauch,5,E,Wirtschaftliche Entwicklung (Bruttoinlandsprodukt BIP),,,,,4. Verbrauch!L5,4. Verbrauch!M5
4. Verbrauch,6,F,Wirtschaftliche Entwicklung (Bruttoinlandsprodukt BIP) / Betrachteter Zeitraum: 22 Jahre,2023,2045,Kalenderjahr,1.674,4. Verbrauch!L6,4. Verbrauch!M6
4. Verbrauch,7,G,Wirtschaftliche Entwicklung (Bruttoinlandsprodukt BIP) / Betrachteter Zeitraum: 22 Jahre / Durchschnittliche Jahresrate BIP/Kopf,0,,%/a,1.681,4. Verbrauch!L7,4. Verbrauch!M7
4. Verbrauch,8,G,Wirtschaftliche Entwicklung (Bruttoinlandsprodukt BIP) / Betrachteter Zeitraum: 22 Jahre / Bruttoinlandsprodukt BIP/Kopf,49525,49525,€/Einwohn.,1.688,4. Verbrauch!L8,4. Verbrauch!M8
4. Verbrauch,9,H,Wirtschaftliche Entwicklung (Bruttoinlandsprodukt BIP) / Betrachteter Zeitraum: 22 Jahre / Bruttoinlandsprodukt BIP/Kopf / Entwicklung BIP/Kopf gesamt,100,100,% v.Status,,4. Verbrauch!L9,4. Verbrauch!M9
4. Verbrauch,10,H,Wirtschaftliche Entwicklung (Bruttoinlandsprodukt BIP) / Betrachteter Zeitraum: 22 Jahre / Bruttoinlandsprodukt BIP/Kopf / Anteil Dienstleistungsbereiche,69.7,69.7,% v. [8],1.693,4. Verbrauch!L10,4. Verbrauch!M10
4. Verbrauch,11,H,Wirtschaftliche Entwicklung (Bruttoinlandsprodukt BIP) / Betrachteter Zeitraum: 22 Jahre / Bruttoinlandsprodukt BIP/Kopf / BIP/Kopf Anteil Dienstleistungsbereiche,34518.925,34518.925,€/Einwohn.,,4. Verbrauch!L11,4. Verbrauch!M11
4. Verbrauch,12,I,Wirtschaftliche Entwicklung (Bruttoinlandsprodukt BIP) / Betrachteter Zeitraum: 22 Jahre / Bruttoinlandsprodukt BIP/Kopf / BIP/Kopf Anteil Dienstleistungsbereiche / Entwickl.BIP/Kopf Dienstleistungsber.,100,100,% v.Status,,4. Verbrauch!L12,4. Verbrauch!M12
4. Verbrauch,13,,Wirtschaftliche Entwicklung (Bruttoinlandsprodukt BIP) / Betrachteter Zeitraum: 22 Jahre / Bruttoinlandsprodukt BIP/Kopf / BIP/Kopf Anteil Dienstleistungsbereiche / Entwickl.BIP/Kopf Dienstleistungsber.,,,,,4. Verbrauch!L13,4. Verbrauch!M13
4. Verbrauch,14,H,Wirtschaftliche Entwicklung (Bruttoinlandsprodukt BIP) / Betrachteter Zeitraum: 22 Jahre / Bruttoinlandsprodukt BIP/Kopf / Anteil Produzierende Bereiche,30.299999999999997,30.299999999999997,% v. [12],,4. Verbrauch!L14,4. Verbrauch!M14
