sheet,row,row_indent_col,full_name,status,ziel,unit,d_ref,ref_status,ref_ziel
5. Bilanz,5,F,Status-Bilanz Endenergie:   Erneuerbar + Fossil (Aktiva) = Verbrauch (Passiva),,,,,,
5. Bilanz,6,G,Status-Bilanz Endenergie:   Erneuerbar + Fossil (Aktiva) = Verbrauch (Passiva) / Angaben in GWh,,,,,,
5. Bilanz,7,,Status-Bilanz Endenergie:   Erneuerbar + Fossil (Aktiva) = Verbrauch (Passiva) / Angaben in GWh,,,,,,
5. Bilanz,8,,Status-Bilanz Endenergie:   Erneuerbar + Fossil (Aktiva) = Verbrauch (Passiva) / Angaben in GWh,,,,,,
5. Bilanz,9,F,Endenergieträger / Verbrauch Strom,,,,,,
5. Bilanz,10,G,Endenergieträger / erneuerbar,,,,,,
5. Bilanz,11,G,Endenergieträger / fossil/atomar,,,,,,
5. Bilanz,12,G,Endenergieträger / Verbr.Brennst.gasf.,,,,,,
5. Bilanz,13,G,Endenergieträger / erneuerbar,,,,,,
5. Bilanz,14,G,Endenergieträger / fossil,,,,,,
5. Bilanz,15,G,Endenergieträger / Verbr.Brennst.flüssig,,,,,,
5. Bilanz,16,G,Endenergieträger / erneuerbar,,,,,,
5. Bilanz,17,G,Endenergieträger / fossil,,,,,,
5. Bilanz,18,G,Endenergieträger / Verbr.Brennst.fest,,,,,,
5. Bilanz,19,G,Endenergieträger / erneuerbar,,,,,,
5. Bilanz,20,G,Endenergieträger / fossil,,,,,,
5. Bilanz,21,G,Endenergieträger / Verbrauch Wärme,,,,,,
5. Bilanz,22,G,Endenergieträger / erneuerbar,,,,,,
5. Bilanz,23,G,Endenergieträger / Abwärme,,,,,,
5. Bilanz,24,G,Endenergieträger / fossil,,,,,,
5. Bilanz,25,G,Endenergieträger / Verbrauch gesamt,,,,,,
5. Bilanz,26,G,Endenergieträger / erneuerbar,,,,,,
5. Bilanz,27,G,Endenergieträger / fossil,,,,,,
5. Bilanz,28,F,"Fossil/atomar ist der Teil des verursachten Endenergieverbrauches zu decken,  der nicht aus erneuerbaren Quellen gedeckt ist:",,,,,,
