sheet,row,row_indent_col,full_name,status,ziel,unit,d_ref,ref_status,ref_ziel
6. Fossile,5,F,Strom fossil/atomar,,,,,6. Fossile!L5,6. Fossile!M5
6. Fossile,6,H,Strom fossil/atomar / Strom-Endverbrauch / (%),,,(GWh/a),,6. Fossile!L6,6. Fossile!M6
6. Fossile,7,H,Strom fossil/atomar / > Bruttostromverbr. / Status / Ziel,Ziel,,Status,,6. Fossile!L7,6. Fossile!M7
6. Fossile,8,G,Strom fossil/atomar / Endverbrauch,0,[5.11] [5.53],,,6. Fossile!L8,6. Fossile!M8
6. Fossile,9,G,Strom fossil/atomar / + / Leitungsverluste / 5.512143039125169 / 5.512143039125169,0,[8.22],,,6. Fossile!L9,6. Fossile!M9
6. Fossile,10,G,Strom fossil/atomar / + / Verbr.Umwandl.ber. / 0 / 0,0,[8.23],,,6. Fossile!L10,6. Fossile!M10
6. Fossile,11,H,Strom fossil/atomar / + / Bruttostromverbrauch,0,,,,6. Fossile!L11,6. Fossile!M11
6. Fossile,12,,Strom fossil/atomar / + / Bruttostromverbrauch,,,,,6. Fossile!L12,6. Fossile!M12
6. Fossile,13,H,Strom fossil/atomar / + / Bruttostromverbr. / Mix-Anteil,,Jahresnutz.grad,Bruttostromverbr.,,6. Fossile!L13,6. Fossile!M13
6. Fossile,14,H,Strom fossil/atomar / + / > Primärenergie-V. / (%),,(%),(GWh/a),,6. Fossile!L14,6. Fossile!M14
6. Fossile,15,I,Strom fossil/atomar / + / > Primärenergie-V. / Status / Ziel,Ziel,Status,Status,,6. Fossile!L15,6. Fossile!M15
6. Fossile,16,G,Strom fossil/atomar / Bruttostromverbrauch / 0 / 100,0,,,,6. Fossile!L16,6. Fossile!M16
6. Fossile,17,H,Strom fossil/atomar / Bruttostromverbrauch / 0-Verbrauch / 0,0,0,,,6. Fossile!L17,6. Fossile!M17
6. Fossile,18,H,Strom fossil/atomar / Bruttostromverbrauch / 0-Verbrauch / 0,0,0,,,6. Fossile!L18,6. Fossile!M18
6. Fossile,19,H,Strom fossil/atomar / Bruttostromverbrauch / 0-Verbrauch / 0,0,0,,,6. Fossile!L19,6. Fossile!M19
6. Fossile,20,H,Strom fossil/atomar / Bruttostromverbrauch / 0-Verbrauch / 0 / 100,0,0,,,6. Fossile!L20,6. Fossile!M20
6. Fossile,21,H,Strom fossil/atomar / Bruttostromverbrauch / 0-Verbrauch / 0,0,0,,,6. Fossile!L21,6. Fossile!M21
6. Fossile,22,H,Strom fossil/atomar / Bruttostromverbrauch / 0 / 0,0,0,,,6. Fossile!L22,6. Fossile!M22
6. Fossile,23,,Strom fossil/atomar / Bruttostromverbrauch / 0 / 0,,,,,6. Fossile!L23,6. Fossile!M23
6. Fossile,24,F,Brennstoffe fossil gasförmig,,,,,6. Fossile!L24,6. Fossile!M24
6. Fossile,25,H,Brennstoffe fossil gasförmig / Endverbrauch,,Jahresnutz.grad,,,6. Fossile!L25,6. Fossile!M25
6. Fossile,26,H,Brennstoffe fossil gasförmig / > Primärenergie-V. / (%),,(%),(GWh/a),,6. Fossile!L26,6. Fossile!M26
6. Fossile,27,I,Brennstoffe fossil gasförmig / > Primärenergie-V. / Status / Ziel,Ziel,Status,Status,,6. Fossile!L27,6. Fossile!M27
6. Fossile,28,G,Brennstoffe fossil gasförmig / Endverbrauch,3.3408071992453183e-13,,,,6. Fossile!L28,6. Fossile!M28
6. Fossile,29,G,Brennstoffe fossil gasförmig / + / Leit./Fackelverluste / 0 / 0,0,,,,6. Fossile!L29,6. Fossile!M29
6. Fossile,30,G,Brennstoffe fossil gasförmig / + / Verbr.Umwandl.ber. / 0 / 0,0,,,,6. Fossile!L30,6. Fossile!M30
6. Fossile,31,H,Brennstoffe fossil gasförmig / + / Naturgase-Verbrauch,3.3408071992453183e-13,100,,,6. Fossile!L31,6. Fossile!M31
6. Fossile,32,,Brennstoffe fossil gasförmig / + / Naturgase-Verbrauch,,,,,6. Fossile!L32,6. Fossile!M32
6. Fossile,33,F,Brennstoffe fossil flüssig,,,,,6. Fossile!L33,6. Fossile!M33
6. Fossile,34,H,Brennstoffe fossil flüssig / Endverbrauch,,Jahresnutz.grad,,,6. Fossile!L34,6. Fossile!M34
6. Fossile,35,H,Brennstoffe fossil flüssig / > Primärenergie-V. / (%),,(%),(GWh/a),,6. Fossile!L35,6. Fossile!M35
6. Fossile,36,I,Brennstoffe fossil flüssig / > Primärenergie-V. / Status / Ziel,Ziel,Status,Status,,6. Fossile!L36,6. Fossile!M36
6. Fossile,37,G,Brennstoffe fossil flüssig / Endverbrauch,2.876974973680917e-11,,,,6. Fossile!L37,6. Fossile!M37
6. Fossile,38,H,Brennstoffe fossil flüssig / Endverbrauch / Leit./Fackelverluste / 0 / 0,0,,,,6. Fossile!L38,6. Fossile!M38
6. Fossile,39,H,Brennstoffe fossil flüssig / Endverbrauch / Verbr.Umwandl.ber. / 0 / 0,0,,,,6. Fossile!L39,6. Fossile!M39
6. Fossile,40,H,Brennstoffe fossil flüssig / Endverbrauch / Erdöl-Verbrauch,2.876974973680917e-11,0,,,6. Fossile!L40,6. Fossile!M40
6. Fossile,41,,Brennstoffe fossil flüssig / Endverbrauch / Erdöl-Verbrauch,,,,,6. Fossile!L41,6. Fossile!M41
6. Fossile,42,F,Brennstoffe fossil fest,,,,,6. Fossile!L42,6. Fossile!M42
6. Fossile,43,I,Brennstoffe fossil fest / (%),,,(GWh/a),,6. Fossile!L43,6. Fossile!M43
6. Fossile,44,G,Brennstoffe fossil fest / Gebäudewärme / Status / Ziel,Ziel,,Status,,6. Fossile!L44,6. Fossile!M44
6. Fossile,45,H,Brennstoffe fossil fest / Gebäudewärme / Endverbrauch / 100 / 100,0,[5.20] [5.59],,,6. Fossile!L45,6. Fossile!M45
