sheet,row,row_indent_col,full_name,status,ziel,unit,d_ref,ref_status,ref_ziel
7. Verbrauch Status,5,F,Anzahl Energieverbraucher:,,,,,,
7. Verbrauch Status,6,,Anzahl Energieverbraucher:,,,,,,
7. Verbrauch Status,7,F,Endenergieverbrauch Zielregion Status (2023),,,,,,
7. Verbrauch Status,8,G,Endenergieverbrauch Zielregion Status (2023) / Endenergie in GWh / Anwendung,,,,,,
7. Verbrauch Status,9,H,"Endenergieverbrauch Zielregion Status (2023) / Endenergie in GWh / Kraft/Licht/
IKT/Kälte",,,,,,
7. Verbrauch Status,10,,"Endenergieverbrauch Zielregion Status (2023) / Endenergie in GWh / Kraft/Licht/
IKT/Kälte",,,,,,
7. Verbrauch Status,11,F,Endenergie-Träger / Strom / 329214.0656749311,,,,,,
7. Verbrauch Status,12,,Endenergie-Träger / Strom / 329214.0656749311,,,,,,
7. Verbrauch Status,13,G,Endenergie-Träger / Brennst.gasförm. / 0,,,,,,
7. Verbrauch Status,14,,Endenergie-Träger / Brennst.gasförm. / 0,,,,,,
7. Verbrauch Status,15,G,Endenergie-Träger / Brennst.flüssig / 0,,,,,,
7. Verbrauch Status,16,,Endenergie-Träger / Brennst.flüssig / 0,,,,,,
7. Verbrauch Status,17,G,Endenergie-Träger / Brennst.fest / 0,,,,,,
7. Verbrauch Status,18,,Endenergie-Träger / Brennst.fest / 0,,,,,,
7. Verbrauch Status,19,G,Endenergie-Träger / Wärme / 0,,,,,,
7. Verbrauch Status,20,,Endenergie-Träger / Wärme / 0,,,,,,
7. Verbrauch Status,21,G,Endenergie-Träger / insgesamt / 329214.0656749311,,,,,,
7. Verbrauch Status,22,,Endenergie-Träger / insgesamt / 329214.0656749311,,,,,,
7. Verbrauch Status,23,F,Wärme-Endverbrauch Zielregion Status (2023) nach Standardverteilung,,,,,,
7. Verbrauch Status,24,G,Wärme-Endverbrauch Zielregion Status (2023) nach Standardverteilung / Endenergie in GWh,,,,,,
7. Verbrauch Status,25,,Wärme-Endverbrauch Zielregion Status (2023) nach Standardverteilung / Endenergie in GWh,,,,,,
7. Verbrauch Status,26,G,Wärme-Endverbrauch Zielregion Status (2023) nach Standardverteilung / Wärme,,,,,,
7. Verbrauch Status,27,G,Wärme-Endverbrauch Zielregion Status (2023) nach Standardverteilung / Fernheizwerke    fossil,,,,,,
7. Verbrauch Status,28,G,Wärme-Endverbrauch Zielregion Status (2023) nach Standardverteilung / erneuerbar,,,,,,
7. Verbrauch Status,29,G,Wärme-Endverbrauch Zielregion Status (2023) nach Standardverteilung / Fern-HeizKRAFTwerke,,,,,,
7. Verbrauch Status,30,G,Wärme-Endverbrauch Zielregion Status (2023) nach Standardverteilung / Nahwärme Abw./erneuerb.,,,,,,
7. Verbrauch Status,31,,Wärme-Endverbrauch Zielregion Status (2023) nach Standardverteilung / Nahwärme Abw./erneuerb.,,,,,,
7. Verbrauch Status,32,F,Primärenergieverbrauch Zielregion Status (2023),,,,,,
7. Verbrauch Status,33,,Primärenergieverbrauch Zielregion Status (2023),,,,,,
7. Verbrauch Status,34,F,Übernommen aus:,,,,,,
7. Verbrauch Status,35,F,BS.2.   Endenergieverbrauch Deutschland 2023 (Schnittstelle),,,,,,
7. Verbrauch Status,36,,BS.2.   Endenergieverbrauch Deutschland 2023 (Schnittstelle),,,,,,
7. Verbrauch Status,37,F,BS.2.a   Endenergie-Verbrauch+ / Einwohner (direkt/indirekt) Statusjahr 2023,,,,,,
7. Verbrauch Status,38,G,BS.2.a   Endenergie-Verbrauch+ / Einwohner (direkt/indirekt) Statusjahr 2023 / Endenergie (kWh) / Anwendung,,,,,,
7. Verbrauch Status,39,H,"BS.2.a   Endenergie-Verbrauch+ / Einwohner (direkt/indirekt) Statusjahr 2023 / Endenergie (kWh) / Kraft/Licht/
IKT/Kälte",,,,,,
7. Verbrauch Status,40,,"BS.2.a   Endenergie-Verbrauch+ / Einwohner (direkt/indirekt) Statusjahr 2023 / Endenergie (kWh) / Kraft/Licht/
IKT/Kälte",,,,,,
7. Verbrauch Status,41,F,Endenergie-Träger / Strom / 3888.23297914207,,,,,,
7. Verbrauch Status,42,,Endenergie-Träger / Strom / 3888.23297914207,,,,,,
