sheet,row,row_indent_col,full_name,status,ziel,unit,d_ref,ref_status,ref_ziel
8. Kennzahlen,5,F,Übernommen aus:,,,,,,
8. Kennzahlen,6,F,BS.3.   Kennzahlen Energieversorgung Deutschland 2023 (Schnittstelle),,,,,,
8. Kennzahlen,7,,BS.3.   Kennzahlen Energieversorgung Deutschland 2023 (Schnittstelle),,,,,,
8. Kennzahlen,8,F,BS.3.a   Strommix und Jahresnutzungsgrad (JNG) Kraftwerke (entfallen),,,,,,
8. Kennzahlen,9,,BS.3.a   Strommix und Jahresnutzungsgrad (JNG) Kraftwerke (entfallen),,,,,,
8. Kennzahlen,10,,BS.3.a   Strommix und Jahresnutzungsgrad (JNG) Kraftwerke (entfallen),,,,,,
8. Kennzahlen,11,F,0,,,,,,
8. Kennzahlen,12,F,0,,,,,,
8. Kennzahlen,13,F,0,,,,,,
8. Kennzahlen,14,F,0,,,,,,
8. Kennzahlen,15,F,0,,,,,,
8. Kennzahlen,16,F,0,,,,,,
8. Kennzahlen,17,F,0,,,,,,
8. Kennzahlen,18,,0,,,,,,
8. Kennzahlen,19,,0,,,,,,
8. Kennzahlen,20,F,BS.3.b   Strom: Leitungsverluste / Verbrauch im Umwandlungsbereich,,,,,,
8. Kennzahlen,21,,BS.3.b   Strom: Leitungsverluste / Verbrauch im Umwandlungsbereich,,,,,,
8. Kennzahlen,22,F,Leitungsverluste / LV/EV,,,,,,
8. Kennzahlen,23,F,Verbr.im Umwandlungsbereich (VU/NV) / 0,,,,,,
8. Kennzahlen,24,,Verbr.im Umwandlungsbereich (VU/NV) / 0,,,,,,
8. Kennzahlen,25,,Verbr.im Umwandlungsbereich (VU/NV) / 0,,,,,,
8. Kennzahlen,26,F,BS.3.d   Gasversorgung (entfallen),,,,,,
8. Kennzahlen,27,,BS.3.d   Gasversorgung (entfallen),,,,,,
8. Kennzahlen,28,F,Leitungsverluste / 0,,,,,,
8. Kennzahlen,29,F,Fackelverluste / 0,,,,,,
8. Kennzahlen,30,F,Verbr.im Umwandlungsbereich / 0,,,,,,
8. Kennzahlen,31,F,Jahresnutzungsgrad Umwandl. / 0,,,,,,
8. Kennzahlen,32,,Jahresnutzungsgrad Umwandl. / 0,,,,,,
8. Kennzahlen,33,,Jahresnutzungsgrad Umwandl. / 0,,,,,,
8. Kennzahlen,34,,Jahresnutzungsgrad Umwandl. / 0,,,,,,
8. Kennzahlen,35,F,BS.3.e   Mineralölversorgung (entfallen),,,,,,
8. Kennzahlen,36,,BS.3.e   Mineralölversorgung (entfallen),,,,,,
8. Kennzahlen,37,F,Leitungsverluste / 0,,,,,,
8. Kennzahlen,38,F,Fackelverluste / 0,,,,,,
8. Kennzahlen,39,F,Verbr.im Umwandlungsbereich / 0,,,,,,
8. Kennzahlen,40,F,Jahresnutzungsgrad Umwandl. / 0,,,,,,
8. Kennzahlen,41,,Jahresnutzungsgrad Umwandl. / 0,,,,,,
8. Kennzahlen,42,,Jahresnutzungsgrad Umwandl. / 0,,,,,,
8. Kennzahlen,43,F,BS.3.c   Braun-/Steinkohleversorgung (entfallen),,,,,,
8. Kennzahlen,44,F,Kohle-Mix,,,,,,
8. Kennzahlen,45,F,Gebäudewärme (%),,,,,,
8. Kennzahlen,46,F,Prozesswärme (%),,,,,,
8. Kennzahlen,47,,Prozesswärme (%),,,,,,
8. Kennzahlen,48,F,Umwandlung (%):,,,,,,
8. Kennzahlen,49,F,Leitungsverluste / LV/EV+,,,,,,
8. Kennzahlen,50,F,Fackelverluste / FV/NV.fos,,,,,,
8. Kennzahlen,51,F,Verbr.im Umwandlungsbereich / 0,,,,,,
8. Kennzahlen,52,F,Jahresnutzungsgrad Umwandl. / 0,,,,,,
8. Kennzahlen,53,,Jahresnutzungsgrad Umwandl. / 0,,,,,,
8. Kennzahlen,54,,Jahresnutzungsgrad Umwandl. / 0,,,,,,
8. Kennzahlen,55,F,BS.3.f   Fernheizwerke: Fossiler Brennstoffmix,,,,,,
8. Kennzahlen,56,F,Mix fossiler Brennstoffe:  (entfallen),,,,,,
8. Kennzahlen,57,F,0,,,,,,
8. Kennzahlen,58,F,0,,,,,,
8. Kennzahlen,59,F,0,,,,,,
8. Kennzahlen,60,F,0,,,,,,
8. Kennzahlen,61,F,0,,,,,,
8. Kennzahlen,62,F,0,,,,,,
8. Kennzahlen,63,,0,,,,,,
8. Kennzahlen,64,F,Umwandlung:,,,,,,
8. Kennzahlen,65,F,Leitungsverluste / 0,,,,,,
8. Kennzahlen,66,F,Verbr.im Umwandlungsbereich / 0,,,,,,
8. Kennzahlen,67,F,Jahresnutzungsgrad Umwandl. / 0,,,,,,
8. Kennzahlen,68,,Jahresnutzungsgrad Umwandl. / 0,,,,,,
8. Kennzahlen,69,,Jahresnutzungsgrad Umwandl. / 0,,,,,,
8. Kennzahlen,70,F,BS.3.g   Brennstoff-Endverbrauch: Fossiler Brennstoffmix (entfallen),,,,,,
8. Kennzahlen,71,F,Mix fossiler Brennstoffe (%):,,,,,,
8. Kennzahlen,72,F,Fossile,,,,,,
8. Kennzahlen,73,F,Braunkohle,,,,,,
8. Kennzahlen,74,F,Steinkohle,,,,,,
8. Kennzahlen,75,F,Erdgas,,,,,,
8. Kennzahlen,76,F,Mineralölprodukte,,,,,,
8. Kennzahlen,77,,Mineralölprodukte,,,,,,
8. Kennzahlen,78,,Mineralölprodukte,,,,,,
