formula_id,formula_key,formula_category,formula_type,is_fixed,db_expression,excel_book,excel_sheet,excel_cell,resolution_note,oos_reason
355,LANDUSE_CHANGE_RATIO,landuse,status,False,child_target / child_status,,,,,HELPER — Django-internal ratio/percent helper; Excel encodes the same logic inline in the L/M/O columns of 1. Flächen per-row (J/O columns for %-of-parent + change-ratio).
353,LANDUSE_STATUS_PERCENT,landuse,status,False,child_status / parent_status * 100,,,,,HELPER — Django-internal ratio/percent helper; Excel encodes the same logic inline in the L/M/O columns of 1. Flächen per-row (J/O columns for %-of-parent + change-ratio).
354,LANDUSE_TARGET_PERCENT,landuse,status,False,child_target / parent_target * 100,,,,,HELPER — Django-internal ratio/percent helper; Excel encodes the same logic inline in the L/M/O columns of 1. Flächen per-row (J/O columns for %-of-parent + change-ratio).
215,1,renewable,status,True,,_S.xlsx,2. Erneuerbare,L5,Via renewable_to_excel.csv ('Solarenergie'),
224,10,renewable,status,True,,_S.xlsx,2. Erneuerbare,L229,Via renewable_to_excel.csv ('Endenergieangebot aus erneuerbaren Quellen gesamt'),
225,10.1,renewable,status,False,Renewable_10_3 + Renewable_10_4 + Renewable_10_5+Renewable_10_6,_S.xlsx,2. Erneuerbare,L230,Via renewable_to_excel.csv ('Endenergie aus Erneuerbaren Q. gesamt'),
840,10.1_target,renewable,ziel,False,Renewable_10_3 + Renewable_10_4 + Renewable_10_5+Renewable_10_6,_S.xlsx,2. Erneuerbare,M230,Via renewable_to_excel.csv ('Endenergie aus Erneuerbaren Q. gesamt'),
226,10.2,renewable,status,False,Renewable_9_4_3_3,_S.xlsx,2. Erneuerbare,L12,Via renewable_to_excel.csv ('Strom'),
227,10.2.1,renewable,status,False,Verbrauch_7,_S.xlsx,2. Erneuerbare,L233,Via renewable_to_excel.csv ('Stromverbrauch insgesamt'),
842,10.2.1_ziel_target,renewable,ziel,False,Verbrauch_7,_S.xlsx,2. Erneuerbare,M233,Via renewable_to_excel.csv ('Stromverbrauch insgesamt'),
228,10.2.2,renewable,status,False,Renewable_10_2 / Renewable_10_2_1 * 100,_S.xlsx,2. Erneuerbare,L234,Via renewable_to_excel.csv ('Anteil Erneuerb. an Stromverbrauch'),
843,10.2.2_ziel_target,renewable,ziel,False,Renewable_10_2 / Renewable_10_2_1 * 100,_S.xlsx,2. Erneuerbare,M234,Via renewable_to_excel.csv ('Anteil Erneuerb. an Stromverbrauch'),
841,10.2_ziel_target,renewable,ziel,False,Renewable_9_4_3_3,_S.xlsx,2. Erneuerbare,M12,Via renewable_to_excel.csv ('Strom'),
229,10.3,renewable,status,False,Renewable_10_3_1,_S.xlsx,2. Erneuerbare,L236,Via renewable_to_excel.csv ('Kraft/Licht/Inform.Komm.Tech./Kälte'),
230,10.3.1,renewable,status,False,Verbrauch_1_4 * Renewable_10_2_2 / 100,_S.xlsx,2. Erneuerbare,L237,Via renewable_to_excel.csv ('davon Strom'),
845,10.3.1_ziel_target,renewable,ziel,False,Verbrauch_1_4 * Renewable_10_2_2 / 100,_S.xlsx,2. Erneuerbare,M237,Via renewable_to_excel.csv ('davon Strom'),
