db_code,db_name,db_unit,excel_sheet,excel_row,excel_name_expected,excel_cell_status,excel_cell_ziel,excel_actual_name,oos_reason
LU_0,Bodenfläche gesamt,ha,1. Flächen,8,Bodenfläche gesamt,1. Flächen!I8,1. Flächen!L8,Bodenfläche gesamt,
LU_1,Siedlung (Gebäude- & Freifläche),ha,1. Flächen,9,Siedlung (Gebäude- & Freifläche),1. Flächen!I9,1. Flächen!L9,Siedlung (Gebäude- & Freifläche),
LU_1.1,Solare Dachflächen,ha,1. Flächen,10,Solare Dachflächen,1. Flächen!I10,1. Flächen!L10,Solare Dachflächen,
LU_2,Landwirtschaftsfläche (LF),ha,1. Flächen,12,Landwirtschaftsfläche (LF),1. Flächen!I12,1. Flächen!L12,Landwirtschaftsfläche (LF),
LU_2.1,Solare Freiflächen,ha,1. Flächen,13,Solare Freiflächen,1. Flächen!I13,1. Flächen!L13,Solare Freiflächen,
LU_2.2,Ackerland,ha,1. Flächen,14,Ackerland,1. Flächen!I14,1. Flächen!L14,Ackerland,
LU_2.2.1,Getreide-Anbaufl. (Stroh),ha,1. Flächen,15,Getreide-Anbaufl. (Stroh),1. Flächen!I15,1. Flächen!L15,Getreide-Anbaufl. (Stroh),
LU_2.2.2,Energiepfl. (Biogas),ha,1. Flächen,16,Energiepfl. (Biogas),1. Flächen!I16,1. Flächen!L16,Energiepfl. (Biogas),
LU_2.2.3,Energiepfl. (Pflanzenöl),ha,1. Flächen,17,Energiepfl. (Pflanzenöl),1. Flächen!I17,1. Flächen!L17,Energiepfl. (Pflanzenöl),
LU_2.2.4,Energiepfl. (Ethanol),ha,1. Flächen,18,Energiepfl. (Ethanol),1. Flächen!I18,1. Flächen!L18,Energiepfl. (Ethanol),
LU_2.2.5,Energiepfl. (Kurzumtr.),ha,1. Flächen,19,Energiepfl. (Kurzumtr.),1. Flächen!I19,1. Flächen!L19,Energiepfl. (Kurzumtr.),
LU_2.2.6,(ohne energet. Relevanz),ha,1. Flächen,20,(ohne energet. Relevanz),1. Flächen!I20,1. Flächen!L20,(ohne energet. Relevanz),
LU_2.3,Dauergrünland,ha,1. Flächen,22,Dauergrünland,1. Flächen!I22,1. Flächen!L22,Dauergrünland,
LU_2.4,(sonstige Nutzung),ha,1. Flächen,25,(sonstige Nutzung),1. Flächen!I25,1. Flächen!L25,(sonstige Nutzung),
LU_3,Waldfläche,ha,1. Flächen,27,Waldfläche,1. Flächen!I27,1. Flächen!L27,Waldfläche,
LU_3.1,Forstfl. (u.a.Energieholz),ha,1. Flächen,28,Forstfl. (u.a.Energieholz),1. Flächen!I28,1. Flächen!L28,Forstfl. (u.a.Energieholz),
LU_3.2,(ohne forstwirtsch.Nutzung),ha,1. Flächen,29,(ohne forstwirtsch.Nutzung),1. Flächen!I29,1. Flächen!L29,(ohne forstwirtsch.Nutzung),
LU_4,(sonstige Flächen),ha,1. Flächen,31,(sonstige Flächen),1. Flächen!I31,1. Flächen!L31,(sonstige Flächen),
LU_5,Windenergie Flächenpotenzial,ha,1. Flächen,33,Windenergie Flächenpotenzial,1. Flächen!I33,1. Flächen!L33,Windenergie Flächenpotenzial,
LU_6,Windparkfläche,ha,1. Flächen,34,Windparkfläche*,1. Flächen!I34,1. Flächen!L34,Windparkfläche*,
