db_code,db_name,db_category,db_subcategory,db_unit,excel_sheet,excel_row,excel_name_expected,excel_cell_status,excel_cell_ziel,oos_reason
1,Solarenergie,Solar,,-,2. Erneuerbare,5,Solarenergie,2. Erneuerbare!L5,2. Erneuerbare!M5,
10,Endenergieangebot aus erneuerbaren Quellen gesamt,Endenergie,Erneuerbare Quellen,,2. Erneuerbare,229,Endenergieangebot aus erneuerbaren Quellen gesamt,2. Erneuerbare!L229,2. Erneuerbare!M229,
10.1,Endenergie aus Erneuerbaren Q. gesamt,Endenergie,Erneuerbare Quellen,GWh/a,2. Erneuerbare,230,Endenergie aus Erneuerbaren Q. gesamt,2. Erneuerbare!L230,2. Erneuerbare!M230,
10.2,Strom,Endenergie,Erneuerbare Quellen,alle Anwendungsbereiche,2. Erneuerbare,12,Solarstrom,2. Erneuerbare!L12,2. Erneuerbare!M12,
10.2.1,Stromverbrauch insgesamt,Endenergie,Erneuerbare Quellen,GWh/a,2. Erneuerbare,233,/ Stromverbrauch insgesamt,2. Erneuerbare!L233,2. Erneuerbare!M233,
10.2.2,Anteil Erneuerb. an Stromverbrauch,Endenergie,Erneuerbare Quellen,%,2. Erneuerbare,234,Anteil Erneuerb.an Stromverbrauch,2. Erneuerbare!L234,2. Erneuerbare!M234,
10.3,Kraft/Licht/Inform.Komm.Tech./Kälte,Endenergie,Erneuerbare Quellen,KLIK,2. Erneuerbare,236,Kraft/Licht/Inform.Komm.Tech./Kälte (KLIK),2. Erneuerbare!L236,2. Erneuerbare!M236,
10.3.1,davon Strom,Endenergie,Erneuerbare Quellen,erneuerb. Anteil,2. Erneuerbare,237,davon Strom (erneuerb. Anteil),2. Erneuerbare!L237,2. Erneuerbare!M237,
10.4,Gebäudewärme,Endenergie,Erneuerbare Quellen,GW,2. Erneuerbare,10,Gebäudewärme,2. Erneuerbare!L10,2. Erneuerbare!M10,
10.4.1,davon Brennstoffe,Endenergie,Erneuerbare Quellen,GWh/a,2. Erneuerbare,240,davon Brennstoffe,2. Erneuerbare!L240,2. Erneuerbare!M240,
10.4.1.1,davon Kohlenwasserstoffe,Endenergie,Erneuerbare Quellen,gasförmig,2. Erneuerbare,241,davon Kohlenwasserstoffe (gasförmig),2. Erneuerbare!L241,2. Erneuerbare!M241,
10.4.1.2,davon Kohlenwasserstoffe,Endenergie,Erneuerbare Quellen,flüssig,2. Erneuerbare,241,davon Kohlenwasserstoffe (gasförmig),2. Erneuerbare!L241,2. Erneuerbare!M241,
10.4.1.3,davon Kohlenwasserstoffe,Endenergie,Erneuerbare Quellen,fest,2. Erneuerbare,241,davon Kohlenwasserstoffe (gasförmig),2. Erneuerbare!L241,2. Erneuerbare!M241,
10.4.2,davon Wärme,Endenergie,Erneuerbare Quellen,GWh/a,2. Erneuerbare,245,davon Wärme,2. Erneuerbare!L245,2. Erneuerbare!M245,
10.4.3,davon Strom,Endenergie,Erneuerbare Quellen,erneuerb. Anteil,2. Erneuerbare,237,davon Strom (erneuerb. Anteil),2. Erneuerbare!L237,2. Erneuerbare!M237,
10.5,Prozesswärme,Endenergie,Erneuerbare Quellen,PW,2. Erneuerbare,63,davon für Prozesswärme,2. Erneuerbare!L63,2. Erneuerbare!M63,
10.5.1,davon Brennstoffe,Endenergie,Erneuerbare Quellen,GWh/a,2. Erneuerbare,240,davon Brennstoffe,2. Erneuerbare!L240,2. Erneuerbare!M240,
10.5.1.1,davon Kohlenwasserstoffe,Endenergie,Erneuerbare Quellen,gasförmig,2. Erneuerbare,241,davon Kohlenwasserstoffe (gasförmig),2. Erneuerbare!L241,2. Erneuerbare!M241,
10.5.1.2,davon Wasserstoff,Endenergie,Erneuerbare Quellen,GWh/a,2. Erneuerbare,251,davon Wasserstoff,2. Erneuerbare!L251,2. Erneuerbare!M251,
10.5.1.3,davon Kohlenwasserstoffe,Endenergie,Erneuerbare Quellen,flüssig,2. Erneuerbare,241,davon Kohlenwasserstoffe (gasförmig),2. Erneuerbare!L241,2. Erneuerbare!M241,
10.5.1.4,davon Kohlenwasserstoffe,Endenergie,Erneuerbare Quellen,fest,2. Erneuerbare,241,davon Kohlenwasserstoffe (gasförmig),2. Erneuerbare!L241,2. Erneuerbare!M241,
10.5.2,davon Wärme,Endenergie,Erneuerbare Quellen,GWh/a,2. Erneuerbare,245,davon Wärme,2. Erneuerbare!L245,2. Erneuerbare!M245,
10.5.3,davon Strom,Endenergie,Erneuerbare Quellen,erneuerb. Anteil,2. Erneuerbare,237,davon Strom (erneuerb. Anteil),2. Erneuerbare!L237,2. Erneuerbare!M237,
10.6,Mobile Anwendungen,Endenergie,Erneuerbare Quellen,GWh/a,2. Erneuerbare,258,Mobile Anwendungen,2. Erneuerbare!L258,2. Erneuerbare!M258,
10.6.1,davon Kraftstoffe,Endenergie,Erneuerbare Quellen,GWh/a,2. Erneuerbare,259,davon Kraftstoffe,2. Erneuerbare!L259,2. Erneuerbare!M259,
