formula_id,formula_key,category,formula_type,db_expression,excel_book,excel_sheet,excel_cell,excel_formula,excel_value,verdict,note,diff_category,diff_note
355,LANDUSE_CHANGE_RATIO,landuse,status,child_target / child_status,,,,,,NO_EXCEL_CELL_DOCUMENTED,HELPER — Django-internal ratio/percent helper; Excel encodes the same logic inline in the L/M/O columns of 1. Flächen per-row (J/O columns for %-of-parent + change-ratio).,,
353,LANDUSE_STATUS_PERCENT,landuse,status,child_status / parent_status * 100,,,,,,NO_EXCEL_CELL_DOCUMENTED,HELPER — Django-internal ratio/percent helper; Excel encodes the same logic inline in the L/M/O columns of 1. Flächen per-row (J/O columns for %-of-parent + change-ratio).,,
354,LANDUSE_TARGET_PERCENT,landuse,status,child_target / parent_target * 100,,,,,,NO_EXCEL_CELL_DOCUMENTED,HELPER — Django-internal ratio/percent helper; Excel encodes the same logic inline in the L/M/O columns of 1. Flächen per-row (J/O columns for %-of-parent + change-ratio).,,
215,1,renewable,status,,_S.xlsx,2. Erneuerbare,L5,,,DB_EMPTY,DB formula expression is empty (input/fixed row),,
224,10,renewable,status,,_S.xlsx,2. Erneuerbare,L229,,,DB_EMPTY,DB formula expression is empty (input/fixed row),,
225,10.1,renewable,status,Renewable_10_3 + Renewable_10_4 + Renewable_10_5+Renewable_10_6,_S.xlsx,2. Erneuerbare,L230,=L236+L239+L248+L258,=L236+L239+L248+L258,EQUIVALENT,"Same structural shape '+++'; different variable names (DB uses Python-style tokens, Excel uses cell refs)",,
840,10.1_target,renewable,ziel,Renewable_10_3 + Renewable_10_4 + Renewable_10_5+Renewable_10_6,_S.xlsx,2. Erneuerbare,M230,=M236+M239+M248+M258,=M236+M239+M248+M258,EQUIVALENT,"Same structural shape '+++'; different variable names (DB uses Python-style tokens, Excel uses cell refs)",,
226,10.2,renewable,status,Renewable_9_4_3_3,_S.xlsx,2. Erneuerbare,L12,,,NO_EXCEL_FORMULA,Excel cell has no formula AND no cached value,,
227,10.2.1,renewable,status,Verbrauch_7,_S.xlsx,2. Erneuerbare,L233,='4. Verbrauch'!L189,='4. Verbrauch'!L189,EQUIVALENT,"CELLREF_VS_TOKEN: Same operator sequence; DB uses Python tokens (Renewable_X), Excel uses cell refs",CELLREF_VS_TOKEN,"Same operator sequence; DB uses Python tokens (Renewable_X), Excel uses cell refs"
842,10.2.1_ziel_target,renewable,ziel,Verbrauch_7,_S.xlsx,2. Erneuerbare,M233,='4. Verbrauch'!M189,='4. Verbrauch'!M189,EQUIVALENT,"CELLREF_VS_TOKEN: Same operator sequence; DB uses Python tokens (Renewable_X), Excel uses cell refs",CELLREF_VS_TOKEN,"Same operator sequence; DB uses Python tokens (Renewable_X), Excel uses cell refs"
228,10.2.2,renewable,status,Renewable_10_2 / Renewable_10_2_1 * 100,_S.xlsx,2. Erneuerbare,L234,=L232/L233%,=L232/L233%,EQUIVALENT,PCT_SHORTHAND: Excel '%' shorthand vs explicit '/100' in DB (equivalent),PCT_SHORTHAND,Excel '%' shorthand vs explicit '/100' in DB (equivalent)
843,10.2.2_ziel_target,renewable,ziel,Renewable_10_2 / Renewable_10_2_1 * 100,_S.xlsx,2. Erneuerbare,M234,=M232/M233%,=M232/M233%,EQUIVALENT,PCT_SHORTHAND: Excel '%' shorthand vs explicit '/100' in DB (equivalent),PCT_SHORTHAND,Excel '%' shorthand vs explicit '/100' in DB (equivalent)
841,10.2_ziel_target,renewable,ziel,Renewable_9_4_3_3,_S.xlsx,2. Erneuerbare,M12,,,NO_EXCEL_FORMULA,Excel cell has no formula AND no cached value,,
229,10.3,renewable,status,Renewable_10_3_1,_S.xlsx,2. Erneuerbare,L236,=L237,=L237,EQUIVALENT,"Both are single-variable references (DB uses code name, Excel uses cell ref)",,
230,10.3.1,renewable,status,Verbrauch_1_4 * Renewable_10_2_2 / 100,_S.xlsx,2. Erneuerbare,L237,=AH237*L$234%,=AH237*L$234%,DIFFERENT,DB='verbrauch_1_4*renewable_10_2_2/100' vs Excel='ah237*l234%',REAL_DIFF,DB_ops=*/ XL_ops=*; investigate
845,10.3.1_ziel_target,renewable,ziel,Verbrauch_1_4 * Renewable_10_2_2 / 100,_S.xlsx,2. Erneuerbare,M237,=AI237*M$234%,=AI237*M$234%,DIFFERENT,DB='verbrauch_1_4*renewable_10_2_2/100' vs Excel='ai237*m234%',REAL_DIFF,DB_ops=*/ XL_ops=*; investigate
844,10.3_ziel_target,renewable,ziel,Renewable_10_3_1,_S.xlsx,2. Erneuerbare,M236,=M237,=M237,EQUIVALENT,"Both are single-variable references (DB uses code name, Excel uses cell ref)",,
231,10.4,renewable,status,Renewable_10_4_1 + Renewable_10_4_3 + Renewable_10_4_2,_S.xlsx,2. Erneuerbare,L10,=L6*L8%*L9/1000,=L6*L8%*L9/1000,DIFFERENT,DB='renewable_10_4_1+renewable_10_4_3+renewable_10_4_2' vs Excel='l6*l8%*l9/1000',REAL_DIFF,DB_ops=++ XL_ops=**/; investigate
232,10.4.1,renewable,status,Renewable_10_4_1_3 + Renewable_10_4_1_1 + Renewable_10_4_1_2,_S.xlsx,2. Erneuerbare,L240,=SUM(L241:L243),=SUM(L241:L243),DIFFERENT,DB='renewable_10_4_1_3+renewable_10_4_1_1+renewable_10_4_1_2' vs Excel='sum(l241:l243)',REAL_DIFF,DB_ops=++ XL_ops=; investigate
233,10.4.1.1,renewable,status,Renewable_4_3_4_2,_S.xlsx,2. Erneuerbare,L241,"=SUMIF($AD$5:$AD$228,$AD241,L$5:L$228)","=SUMIF($AD$5:$AD$228,$AD241,L$5:L$228)",EQUIVALENT,SUMIF_VS_DIRECT: Excel uses SUMIF aggregation; DB references a single code (likely the same aggregate),SUMIF_VS_DIRECT,Excel uses SUMIF aggregation; DB references a single code (likely the same aggregate)
848,10.4.1.1_ziel_target,renewable,ziel,Renewable_4_3_4_2,_S.xlsx,2. Erneuerbare,M241,"=SUMIF($AD$5:$AD$228,$AD241,M$5:M$228)","=SUMIF($AD$5:$AD$228,$AD241,M$5:M$228)",EQUIVALENT,SUMIF_VS_DIRECT: Excel uses SUMIF aggregation; DB references a single code (likely the same aggregate),SUMIF_VS_DIRECT,Excel uses SUMIF aggregation; DB references a single code (likely the same aggregate)
234,10.4.1.2,renewable,status,Renewable_4_3_4_2,_S.xlsx,2. Erneuerbare,L241,"=SUMIF($AD$5:$AD$228,$AD241,L$5:L$228)","=SUMIF($AD$5:$AD$228,$AD241,L$5:L$228)",EQUIVALENT,SUMIF_VS_DIRECT: Excel uses SUMIF aggregation; DB references a single code (likely the same aggregate),SUMIF_VS_DIRECT,Excel uses SUMIF aggregation; DB references a single code (likely the same aggregate)
849,10.4.1.2_ziel_target,renewable,ziel,Renewable_4_3_4_2,_S.xlsx,2. Erneuerbare,M241,"=SUMIF($AD$5:$AD$228,$AD241,M$5:M$228)","=SUMIF($AD$5:$AD$228,$AD241,M$5:M$228)",EQUIVALENT,SUMIF_VS_DIRECT: Excel uses SUMIF aggregation; DB references a single code (likely the same aggregate),SUMIF_VS_DIRECT,Excel uses SUMIF aggregation; DB references a single code (likely the same aggregate)
235,10.4.1.3,renewable,status,Renewable_4_3_1,_S.xlsx,2. Erneuerbare,L241,"=SUMIF($AD$5:$AD$228,$AD241,L$5:L$228)","=SUMIF($AD$5:$AD$228,$AD241,L$5:L$228)",EQUIVALENT,SUMIF_VS_DIRECT: Excel uses SUMIF aggregation; DB references a single code (likely the same aggregate),SUMIF_VS_DIRECT,Excel uses SUMIF aggregation; DB references a single code (likely the same aggregate)
850,10.4.1.3_ziel_target,renewable,ziel,Renewable_4_3_1,_S.xlsx,2. Erneuerbare,M241,"=SUMIF($AD$5:$AD$228,$AD241,M$5:M$228)","=SUMIF($AD$5:$AD$228,$AD241,M$5:M$228)",EQUIVALENT,SUMIF_VS_DIRECT: Excel uses SUMIF aggregation; DB references a single code (likely the same aggregate),SUMIF_VS_DIRECT,Excel uses SUMIF aggregation; DB references a single code (likely the same aggregate)
847,10.4.1_ziel_target,renewable,ziel,Renewable_10_4_1_3 + Renewable_10_4_1_1 + Renewable_10_4_1_2,_S.xlsx,2. Erneuerbare,M240,=SUM(M241:M243),=SUM(M241:M243),DIFFERENT,DB='renewable_10_4_1_3+renewable_10_4_1_1+renewable_10_4_1_2' vs Excel='sum(m241:m243)',REAL_DIFF,DB_ops=++ XL_ops=; investigate
236,10.4.2,renewable,status,Renewable_1_1_1_1_2 + Renewable_7_1_2_3 + Renewable_7_1_4_3 + Renewable_5_4_2_4 + Renewable_6_1_3_2_4 + Renewable_8_2 + Renewable_4_4_2 + Renewable_9_3_2_1,_S.xlsx,2. Erneuerbare,L245,"=SUMIF($AD$5:$AD$228,$AD245,L$5:L$228)","=SUMIF($AD$5:$AD$228,$AD245,L$5:L$228)",EQUIVALENT,SUMIF_VS_DIRECT: Excel uses SUMIF aggregation; DB references a single code (likely the same aggregate),SUMIF_VS_DIRECT,Excel uses SUMIF aggregation; DB references a single code (likely the same aggregate)
1267,10.4.2_target,renewable,ziel,Renewable_1_1_1_1_2_target + Renewable_7_1_2_3_target + Renewable_7_1_4_3_target + Renewable_5_4_2_4_target + Renewable_6_1_3_2_4_target + Renewable_8_2_target + Renewable_4_4_2_target + Renewable_9_3_2_1_target,_S.xlsx,2. Erneuerbare,M245,"=SUMIF($AD$5:$AD$228,$AD245,M$5:M$228)","=SUMIF($AD$5:$AD$228,$AD245,M$5:M$228)",EQUIVALENT,SUMIF_VS_DIRECT: Excel uses SUMIF aggregation; DB references a single code (likely the same aggregate),SUMIF_VS_DIRECT,Excel uses SUMIF aggregation; DB references a single code (likely the same aggregate)
237,10.4.3,renewable,status,Verbrauch_2_9_0 * Renewable_10_2_2 / 100,_S.xlsx,2. Erneuerbare,L237,=AH237*L$234%,=AH237*L$234%,DIFFERENT,DB='verbrauch_2_9_0*renewable_10_2_2/100' vs Excel='ah237*l234%',REAL_DIFF,DB_ops=*/ XL_ops=*; investigate
852,10.4.3_ziel_target,renewable,ziel,Verbrauch_2_9_0 * Renewable_10_2_2 / 100,_S.xlsx,2. Erneuerbare,M237,=AI237*M$234%,=AI237*M$234%,DIFFERENT,DB='verbrauch_2_9_0*renewable_10_2_2/100' vs Excel='ai237*m234%',REAL_DIFF,DB_ops=*/ XL_ops=*; investigate
846,10.4_ziel_target,renewable,ziel,Renewable_10_4_1 + Renewable_10_4_3 + Renewable_10_4_2,_S.xlsx,2. Erneuerbare,M10,=M6*M8%*M9/1000,=M6*M8%*M9/1000,DIFFERENT,DB='renewable_10_4_1+renewable_10_4_3+renewable_10_4_2' vs Excel='m6*m8%*m9/1000',REAL_DIFF,DB_ops=++ XL_ops=**/; investigate
238,10.5,renewable,status,Renewable_10_5_1 + Renewable_10_5_3 + Renewable_10_5_2,_S.xlsx,2. Erneuerbare,L63,=AT63,=AT63,DIFFERENT,DB='renewable_10_5_1+renewable_10_5_3+renewable_10_5_2' vs Excel='at63',REAL_DIFF,DB_ops=++ XL_ops=; investigate
239,10.5.1,renewable,status,Renewable_10_5_1_1 + Renewable_10_5_1_2 + Renewable_10_5_1_3 + Renewable_10_5_1_4,_S.xlsx,2. Erneuerbare,L240,=SUM(L241:L243),=SUM(L241:L243),DIFFERENT,DB='renewable_10_5_1_1+renewable_10_5_1_2+renewable_10_5_1_3+renewable_10_5_1_4' vs Excel='sum(l241:l243)',REAL_DIFF,DB_ops=+++ XL_ops=; investigate
240,10.5.1.1,renewable,status,Renewable_5_4_1_1,_S.xlsx,2. Erneuerbare,L241,"=SUMIF($AD$5:$AD$228,$AD241,L$5:L$228)","=SUMIF($AD$5:$AD$228,$AD241,L$5:L$228)",EQUIVALENT,SUMIF_VS_DIRECT: Excel uses SUMIF aggregation; DB references a single code (likely the same aggregate),SUMIF_VS_DIRECT,Excel uses SUMIF aggregation; DB references a single code (likely the same aggregate)
855,10.5.1.1_ziel_target,renewable,ziel,Renewable_5_4_1_1,_S.xlsx,2. Erneuerbare,M241,"=SUMIF($AD$5:$AD$228,$AD241,M$5:M$228)","=SUMIF($AD$5:$AD$228,$AD241,M$5:M$228)",EQUIVALENT,SUMIF_VS_DIRECT: Excel uses SUMIF aggregation; DB references a single code (likely the same aggregate),SUMIF_VS_DIRECT,Excel uses SUMIF aggregation; DB references a single code (likely the same aggregate)
241,10.5.1.2,renewable,status,Renewable_4_3_4_2,_S.xlsx,2. Erneuerbare,L251,"=SUMIF($AD$5:$AD$228,$AD251,L$5:L$228)","=SUMIF($AD$5:$AD$228,$AD251,L$5:L$228)",EQUIVALENT,SUMIF_VS_DIRECT: Excel uses SUMIF aggregation; DB references a single code (likely the same aggregate),SUMIF_VS_DIRECT,Excel uses SUMIF aggregation; DB references a single code (likely the same aggregate)
856,10.5.1.2_ziel_target,renewable,ziel,Renewable_4_3_4_2,_S.xlsx,2. Erneuerbare,M251,"=SUMIF($AD$5:$AD$228,$AD251,M$5:M$228)","=SUMIF($AD$5:$AD$228,$AD251,M$5:M$228)",EQUIVALENT,SUMIF_VS_DIRECT: Excel uses SUMIF aggregation; DB references a single code (likely the same aggregate),SUMIF_VS_DIRECT,Excel uses SUMIF aggregation; DB references a single code (likely the same aggregate)
242,10.5.1.3,renewable,status,Renewable_4_3_4_2,_S.xlsx,2. Erneuerbare,L241,"=SUMIF($AD$5:$AD$228,$AD241,L$5:L$228)","=SUMIF($AD$5:$AD$228,$AD241,L$5:L$228)",EQUIVALENT,SUMIF_VS_DIRECT: Excel uses SUMIF aggregation; DB references a single code (likely the same aggregate),SUMIF_VS_DIRECT,Excel uses SUMIF aggregation; DB references a single code (likely the same aggregate)
857,10.5.1.3_ziel_target,renewable,ziel,Renewable_4_3_4_2,_S.xlsx,2. Erneuerbare,M241,"=SUMIF($AD$5:$AD$228,$AD241,M$5:M$228)","=SUMIF($AD$5:$AD$228,$AD241,M$5:M$228)",EQUIVALENT,SUMIF_VS_DIRECT: Excel uses SUMIF aggregation; DB references a single code (likely the same aggregate),SUMIF_VS_DIRECT,Excel uses SUMIF aggregation; DB references a single code (likely the same aggregate)
243,10.5.1.4,renewable,status,Renewable_4_3_2,_S.xlsx,2. Erneuerbare,L241,"=SUMIF($AD$5:$AD$228,$AD241,L$5:L$228)","=SUMIF($AD$5:$AD$228,$AD241,L$5:L$228)",EQUIVALENT,SUMIF_VS_DIRECT: Excel uses SUMIF aggregation; DB references a single code (likely the same aggregate),SUMIF_VS_DIRECT,Excel uses SUMIF aggregation; DB references a single code (likely the same aggregate)
858,10.5.1.4_ziel_target,renewable,ziel,Renewable_4_3_2,_S.xlsx,2. Erneuerbare,M241,"=SUMIF($AD$5:$AD$228,$AD241,M$5:M$228)","=SUMIF($AD$5:$AD$228,$AD241,M$5:M$228)",EQUIVALENT,SUMIF_VS_DIRECT: Excel uses SUMIF aggregation; DB references a single code (likely the same aggregate),SUMIF_VS_DIRECT,Excel uses SUMIF aggregation; DB references a single code (likely the same aggregate)
854,10.5.1_ziel_target,renewable,ziel,Renewable_10_5_1_1 + Renewable_10_5_1_2 + Renewable_10_5_1_3 + Renewable_10_5_1_4,_S.xlsx,2. Erneuerbare,M240,=SUM(M241:M243),=SUM(M241:M243),DIFFERENT,DB='renewable_10_5_1_1+renewable_10_5_1_2+renewable_10_5_1_3+renewable_10_5_1_4' vs Excel='sum(m241:m243)',REAL_DIFF,DB_ops=+++ XL_ops=; investigate
244,10.5.2,renewable,status,Renewable_4_3_4_2,_S.xlsx,2. Erneuerbare,L245,"=SUMIF($AD$5:$AD$228,$AD245,L$5:L$228)","=SUMIF($AD$5:$AD$228,$AD245,L$5:L$228)",EQUIVALENT,SUMIF_VS_DIRECT: Excel uses SUMIF aggregation; DB references a single code (likely the same aggregate),SUMIF_VS_DIRECT,Excel uses SUMIF aggregation; DB references a single code (likely the same aggregate)
859,10.5.2_ziel_target,renewable,ziel,Renewable_4_3_4_2,_S.xlsx,2. Erneuerbare,M245,"=SUMIF($AD$5:$AD$228,$AD245,M$5:M$228)","=SUMIF($AD$5:$AD$228,$AD245,M$5:M$228)",EQUIVALENT,SUMIF_VS_DIRECT: Excel uses SUMIF aggregation; DB references a single code (likely the same aggregate),SUMIF_VS_DIRECT,Excel uses SUMIF aggregation; DB references a single code (likely the same aggregate)
245,10.5.3,renewable,status,Verbrauch_3_6_0 * Renewable_10_2_2 / 100,_S.xlsx,2. Erneuerbare,L237,=AH237*L$234%,=AH237*L$234%,DIFFERENT,DB='verbrauch_3_6_0*renewable_10_2_2/100' vs Excel='ah237*l234%',REAL_DIFF,DB_ops=*/ XL_ops=*; investigate
860,10.5.3_target,renewable,ziel,Verbrauch_3_6_0_ziel * Renewable_10_2_2_target / 100,_S.xlsx,2. Erneuerbare,M237,=AI237*M$234%,=AI237*M$234%,DIFFERENT,DB='verbrauch_3_6_0_ziel*renewable_10_2_2_target/100' vs Excel='ai237*m234%',REAL_DIFF,DB_ops=*/ XL_ops=*; investigate
853,10.5_ziel_target,renewable,ziel,Renewable_10_5_1 + Renewable_10_5_3 + Renewable_10_5_2,_S.xlsx,2. Erneuerbare,M63,=100-M62-M64-M65,=100-M62-M64-M65,DIFFERENT,DB='renewable_10_5_1+renewable_10_5_3+renewable_10_5_2' vs Excel='100-m62-m64-m65',REAL_DIFF,DB_ops=++ XL_ops=---; investigate
246,10.6,renewable,status,Renewable_10_6_1 + Renewable_10_6_2,_S.xlsx,2. Erneuerbare,L258,=L259+L264,=L259+L264,EQUIVALENT,"Same structural shape '+'; different variable names (DB uses Python-style tokens, Excel uses cell refs)",,
247,10.6.1,renewable,status,Renewable_10_6_1_1 + Renewable_10_6_1_2 + Renewable_10_6_1_3,_S.xlsx,2. Erneuerbare,L259,=SUM(L261:L262),=SUM(L261:L262),DIFFERENT,DB='renewable_10_6_1_1+renewable_10_6_1_2+renewable_10_6_1_3' vs Excel='sum(l261:l262)',REAL_DIFF,DB_ops=++ XL_ops=; investigate
248,10.6.1.1,renewable,status,FIXED VALUE: davon Wasserstoff (FC-Traktion),_S.xlsx,2. Erneuerbare,L251,"=SUMIF($AD$5:$AD$228,$AD251,L$5:L$228)","=SUMIF($AD$5:$AD$228,$AD251,L$5:L$228)",EQUIVALENT,SUMIF_VS_DIRECT: Excel uses SUMIF aggregation; DB references a single code (likely the same aggregate),SUMIF_VS_DIRECT,Excel uses SUMIF aggregation; DB references a single code (likely the same aggregate)
863,10.6.1.1_ziel_target,renewable,ziel,FIXED VALUE: davon Wasserstoff (FC-Traktion),_S.xlsx,2. Erneuerbare,M251,"=SUMIF($AD$5:$AD$228,$AD251,M$5:M$228)","=SUMIF($AD$5:$AD$228,$AD251,M$5:M$228)",EQUIVALENT,SUMIF_VS_DIRECT: Excel uses SUMIF aggregation; DB references a single code (likely the same aggregate),SUMIF_VS_DIRECT,Excel uses SUMIF aggregation; DB references a single code (likely the same aggregate)
