section,carrier_role,sector,view,excel_cell,engine_value,excel_value,drift,verdict
Strom,total,KLIK,status,H9,329345.68559999997,329214.0656749311,0.000400,PASS
Strom,total,GW,status,K9,0,32876.978218549135,1.000000,DRIFT
Strom,total,PW,status,N9,71620.89060403779,76888.81139118457,0.068513,DRIFT
Strom,total,MA,status,Q9,28135.997474,15300.012667584937,0.456212,DRIFT
Strom,total,total,status,T9,429102.57367803773,454279.8679522497,0.055422,DRIFT
Strom,renewable,KLIK,status,I10,172995.4884722678,171003.68337655472,0.011514,DRIFT
Strom,renewable,GW,status,L10,17211.345393769323,17077.290917496724,0.007789,PASS_LOOSE
Strom,renewable,PW,status,O10,37620.32264759194,39938.36026228742,0.058040,DRIFT
Strom,renewable,MA,status,R10,14779.00224440992,14622.671811905728,0.010578,DRIFT
Strom,renewable,total,status,U10,242606.158758039,242642.00636824456,0.000148,PASS
Strom,fossil,KLIK,status,J11,156350.19712773216,158210.38229837638,0.011758,DRIFT
Strom,fossil,GW,status,M11,0,15799.68730105241,1.000000,DRIFT
Strom,fossil,PW,status,P11,34000.567956445855,36950.451128897155,0.079833,DRIFT
Strom,fossil,MA,status,S11,13356.99522959008,677.3408556792092,0.949289,DRIFT
Strom,fossil,total,status,V11,203707.76031376809,211637.86158400515,0.037470,DRIFT
Brennstoff gasförmig,total,KLIK,status,H12,0,,inf,NO_MATCH
Brennstoff gasförmig,total,GW,status,K12,632955.7450656,346430.05089072546,0.452679,DRIFT
Brennstoff gasförmig,total,PW,status,N12,334902.850096815,192513.58951790634,0.425166,DRIFT
Brennstoff gasförmig,total,MA,status,Q12,725577.002526,9195.668593553719,0.987326,DRIFT
Brennstoff gasförmig,total,total,status,T12,1693435.597688415,548139.3090021855,0.676315,DRIFT
Brennstoff gasförmig,renewable,KLIK,status,I13,0,,inf,NO_MATCH
Brennstoff gasförmig,renewable,GW,status,L13,88453.6052475208,0,1.000000,DRIFT
Brennstoff gasförmig,renewable,PW,status,O13,25653.094246572244,0,1.000000,DRIFT
Brennstoff gasförmig,renewable,MA,status,R13,34786.602,1131.580013848367,0.967471,DRIFT
Brennstoff gasförmig,renewable,total,status,U13,148893.30149409303,1131.580013848367,0.992400,DRIFT
Brennstoff gasförmig,fossil,KLIK,status,J14,0,,inf,NO_MATCH
Brennstoff gasförmig,fossil,GW,status,M14,544502.1398180792,346430.05089072546,0.363767,DRIFT
Brennstoff gasförmig,fossil,PW,status,P14,309249.75585024274,192513.58951790634,0.377482,DRIFT
Brennstoff gasförmig,fossil,MA,status,S14,690790.4005260001,8064.0885797053525,0.988326,DRIFT
Brennstoff gasförmig,fossil,total,status,V14,1544542.296194322,547007.7289883371,0.645845,DRIFT
Brennstoff flüssig,total,KLIK,status,H15,NO_ENGINE_EQUIV,,,NO_ENGINE_EQUIV
Brennstoff flüssig,total,GW,status,K15,NO_ENGINE_EQUIV,136478.33441230486,,NO_ENGINE_EQUIV
Brennstoff flüssig,total,PW,status,N15,NO_ENGINE_EQUIV,24796.57225436181,,NO_ENGINE_EQUIV
Brennstoff flüssig,total,MA,status,Q15,NO_ENGINE_EQUIV,729217.1031462443,,NO_ENGINE_EQUIV
Brennstoff flüssig,total,total,status,T15,NO_ENGINE_EQUIV,890492.009812911,,NO_ENGINE_EQUIV
Brennstoff flüssig,renewable,KLIK,status,I16,NO_ENGINE_EQUIV,,,NO_ENGINE_EQUIV
Brennstoff flüssig,renewable,GW,status,L16,NO_ENGINE_EQUIV,0,,NO_ENGINE_EQUIV
Brennstoff flüssig,renewable,PW,status,O16,NO_ENGINE_EQUIV,0,,NO_ENGINE_EQUIV
Brennstoff flüssig,renewable,MA,status,R16,NO_ENGINE_EQUIV,34768.736458126616,,NO_ENGINE_EQUIV
Brennstoff flüssig,renewable,total,status,U16,NO_ENGINE_EQUIV,34768.736458126616,,NO_ENGINE_EQUIV
Brennstoff flüssig,fossil,KLIK,status,J17,NO_ENGINE_EQUIV,,,NO_ENGINE_EQUIV
Brennstoff flüssig,fossil,GW,status,M17,NO_ENGINE_EQUIV,136478.33441230486,,NO_ENGINE_EQUIV
Brennstoff flüssig,fossil,PW,status,P17,NO_ENGINE_EQUIV,24796.57225436181,,NO_ENGINE_EQUIV
Brennstoff flüssig,fossil,MA,status,S17,NO_ENGINE_EQUIV,694448.3666881177,,NO_ENGINE_EQUIV
Brennstoff flüssig,fossil,total,status,V17,NO_ENGINE_EQUIV,855723.2733547844,,NO_ENGINE_EQUIV
Brennstoff fest,total,KLIK,status,H18,NO_ENGINE_EQUIV,,,NO_ENGINE_EQUIV
Brennstoff fest,total,GW,status,K18,NO_ENGINE_EQUIV,149501.39419651052,,NO_ENGINE_EQUIV
Brennstoff fest,total,PW,status,N18,NO_ENGINE_EQUIV,117624.0538292011,,NO_ENGINE_EQUIV
Brennstoff fest,total,MA,status,Q18,NO_ENGINE_EQUIV,,,NO_ENGINE_EQUIV
Brennstoff fest,total,total,status,T18,NO_ENGINE_EQUIV,267125.44802571164,,NO_ENGINE_EQUIV
Brennstoff fest,renewable,KLIK,status,I19,NO_ENGINE_EQUIV,,,NO_ENGINE_EQUIV
Brennstoff fest,renewable,GW,status,L19,NO_ENGINE_EQUIV,88254.46556022266,,NO_ENGINE_EQUIV
Brennstoff fest,renewable,PW,status,O19,NO_ENGINE_EQUIV,25697.16007897475,,NO_ENGINE_EQUIV
Brennstoff fest,renewable,MA,status,R19,NO_ENGINE_EQUIV,,,NO_ENGINE_EQUIV
Brennstoff fest,renewable,total,status,U19,NO_ENGINE_EQUIV,113951.6256391974,,NO_ENGINE_EQUIV
Brennstoff fest,fossil,KLIK,status,J20,NO_ENGINE_EQUIV,,,NO_ENGINE_EQUIV
Brennstoff fest,fossil,GW,status,M20,NO_ENGINE_EQUIV,61246.92863628786,,NO_ENGINE_EQUIV
Brennstoff fest,fossil,PW,status,P20,NO_ENGINE_EQUIV,91926.89375022636,,NO_ENGINE_EQUIV
Brennstoff fest,fossil,MA,status,S20,NO_ENGINE_EQUIV,,,NO_ENGINE_EQUIV
Brennstoff fest,fossil,total,status,V20,NO_ENGINE_EQUIV,153173.82238651422,,NO_ENGINE_EQUIV
Wärme,total,KLIK,status,H21,0,,inf,NO_MATCH
Wärme,total,GW,status,K21,133464.15331559998,133580.49552011894,0.000871,PASS
Wärme,total,PW,status,N21,143847.161152695,143571.54256124247,0.001916,PASS_LOOSE
Wärme,total,MA,status,Q21,0,,inf,NO_MATCH
Wärme,total,total,status,T21,277311.31446829496,277152.03808136145,0.000574,PASS
Wärme,renewable,KLIK,status,I22,0,,inf,NO_MATCH
Wärme,renewable,GW,status,L22,0,32782.79317886679,1.000000,DRIFT
Wärme,renewable,PW,status,O22,0.0,,inf,NO_MATCH
Wärme,renewable,MA,status,R22,0,,inf,NO_MATCH
Wärme,renewable,total,status,U22,0,32782.79317886679,1.000000,DRIFT
